"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"477"	"477"	"ALU36624.1"	"Clostridium_autoethanogenum_DSM_10061"	"Firmicutes"	"GCA_001484725.1"	""	""	""	"motA"	""	""	"rsmI"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ALU36621.1"	"ALU36622.1"	"ALU36623.1"	"ALU36624.1"	"ALU36625.1"	"ALU36626.1"	"ALU36627.1"	"PSP1 domain protein"	"Heavy metal transport/detoxification protein"	"4Fe-4S ferredoxin iron-sulpur binding domain-containing protein"	"Chemotaxis protein MotA"	"Motility protein B"	"Methyltransferase"	"Ribosomal RNA small subunit methyltransferase I"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"478"	"478"	"BAD41956.1"	"Symbiobacterium_thermophilum_IAM_14863"	"Firmicutes"	"GCA_000009905.1"	"fliS"	""	"fliC"	"motA"	"motB"	""	""	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"BAD41959.1"	"BAD41958.1"	"BAD41957.1"	"BAD41956.1"	"BAD41955.1"	"BAD41954.1"	"BAD41953.1"	"flagellar protein"	"hypothetical protein"	"flagellin"	"flagellar motor protein MotA"	"flagellar motor protein MotB"	"conserved hypothetical protein"	"conserved hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"479"	"479"	"EKT88755.1"	"Leptospra_santarosai_Shermani_LT_821_chrom1"	"Spirochaetes"	"GCA_000313175.2"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"AIT11037.1"	"EKT88757.2"	"EKT88756.1"	"EKT88755.1"	"EKT88754.2"	"EKT88753.1"	"EKT88752.1"	"hypothetical protein"	"cytochrome C peroxidase"	"beta-lactamase"	"endoflagellar motor protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"480"	"480"	"ADL42743.1"	"Caldicellulosiruptor_obsidiansis_OB47"	"Firmicutes"	"GCA_000145215.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADL42746.1"	"ADL42745.1"	"ADL42744.1"	"ADL42743.1"	"ADL42742.1"	"ADL42741.1"	"ADL42740.1"	"protein of unknown function DUF1385"	"protein-(glutamine-N5) methyltransferase, release factor-specific"	"peptide chain release factor 1"	"MotA/TolQ/ExbB proton channel"	"OmpA/MotB domain protein"	"zinc/iron permease"	"Sua5/YciO/YrdC/YwlC family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"481"	"481"	"APC07539.1"	"Moorella_thermoacetica_DSM_103284"	"Firmicutes"	"GCA_001874605.1"	""	"lgt_1"	"atzC"	"pomA_1"	"motB_1"	"eam"	"yabI"	"-"	"+"	"+"	"-"	"-"	"+"	"+"	"APC07542.1"	"APC07541.1"	"APC07540.1"	"APC07539.1"	"APC07538.1"	"APC07537.1"	"APC07536.1"	"hypothetical protein"	"prolipoprotein diacylglyceryl transferase"	"N-isopropylammelide isopropyl amidohydrolase"	"chemotaxis protein PomA"	"motility protein B"	"glutamate 2,3-aminomutase"	"inner membrane protein YabI"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"482"	"482"	"CCW35905.1"	"Chthonomonas_calidirosea_T49"	"Armatimonadetes"	"GCA_000427095.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"CCW35902.1"	"CCW35903.1"	"CCW35904.1"	"CCW35905.1"	"CCW35906.1"	"CCW35907.1"	"CCW35908.1"	"flagellar operon protein"	"fagellar hook-basal body proteins"	"Uncharacterized protein, possibly involved in motility"	"Flagellar motor component"	"Flagellar motor protein"	"Flagellar basal body-associated protein"	"transcription elongation factor GreA"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"483"	"483"	"ACL22206.1"	"Desulfitobacterium_hafniense_DCB-2"	"Firmicutes"	"GCA_000021925.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"-"	"+"	"ACL22203.1"	"ACL22204.1"	"ACL22205.1"	"ACL22206.1"	"ACL22207.1"	"ACL22208.1"	"ACL22209.1"	"FlgN family protein"	"Anti-sigma-28 factor FlgM family protein"	"protein of unknown function DUF820"	"MotA/TolQ/ExbB proton channel"	"OmpA/MotB domain protein"	"peptidase M28"	"protein of unknown function DUF327"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"484"	"484"	"AJH79515.1"	"Weizmannia_coagulans_DSM_1_EQ_ATCC_7050"	"Firmicutes"	"GCA_000832905.1"	""	""	""	""	""	""	"yfkM"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"AJH77978.1"	"AJH77837.1"	"AJH79186.1"	"AJH79515.1"	"AJH78804.1"	"AJH79975.1"	"AJH79559.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"motA/TolQ/ExbB proton channel family protein"	"membrane MotB of proton-channel complex MotA/MotB family protein"	"hypothetical protein"	"general stress protein 18"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"485"	"485"	"CAB13242.1"	"Bacillus_subtilis_subsp_subtilis_168"	"Firmicutes"	"GCA_000009045.1"	"qswA"	"ykvI"	"clpE"	"motA"	"motB"	"mhqR"	"kinD"	"+"	"+"	"-"	"-"	"-"	"+"	"-"	""	"CAB13244.1"	"CAB13243.1"	"CAB13242.1"	"CAB13241.1"	"CAB13240.1"	"CAB13239.1"	"preQ1 riboswitch"	"putative transporter"	"ATP-dependent Clp protease (class III stress gene)"	"motility protein A; MotA component of the H+-coupled stator flagellum complex"	"motility protein B; MotB component of the H+-coupled stator flagellum complex"	"transcriptional regulator (MarR family)"	"histidine kinase phosphorylating Spo0A"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"486"	"486"	"ATO49967.1"	"Brevibacillus_laterosprus_DSM_25"	"Firmicutes"	"GCA_002706795.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"ATO52062.1"	"ATO49965.1"	"ATO49966.1"	"ATO49967.1"	"ATO49968.1"	"ATO49969.1"	"ATO52063.1"	"hypothetical protein"	"hypothetical protein"	"polysaccharide deacetylase"	"flagellar motor protein MotA"	"flagellar motor protein MotB"	"lysine transporter LysE"	"GntR family transcriptional regulator"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"487"	"487"	"ALU34477.1"	"Clostridium_autoethanogenum_DSM_10061"	"Firmicutes"	"GCA_001484725.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"+"	"-"	"ALU34480.1"	"ALU34479.1"	"ALU34478.1"	"ALU34477.1"	"ALU34476.1"	"ALU34475.1"	"ALU34474.1"	"putative signal transduction protein"	"Major facilitator superfamily MFS_1"	"Hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Motility protein B N-terminal domain-containing protein"	"Rubrerythrin"	"Glycosyl transferase group 1"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"488"	"488"	"UPH48256.1"	"Listeria_innocua_F6217"	"Firmicutes"	"GCA_004636665.2"	"flgG"	""	""	"motA"	"motB"	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"UPH48253.1"	"UPH48254.1"	"UPH48255.1"	"UPH48256.1"	"UPH48257.1"	"UPH48258.1"	"UPH48259.1"	"flagellar basal-body rod protein FlgG"	"protein-glutamate O-methyltransferase CheR"	"DUF3964 family protein"	"flagellar motor stator protein MotA"	"flagellar motor protein MotB"	"hypothetical protein"	"glycosyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"489"	"489"	"APC08935.1"	"Moorella_thermoacetica_DSM_103284"	"Firmicutes"	"GCA_001874605.1"	"dpnM_2"	"pfkA1_2"	""	"pomA_3"	"motB_3"	""	"fldI_5"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"APC08932.1"	"APC08933.1"	"APC08934.1"	"APC08935.1"	"APC08936.1"	"APC08937.1"	"APC08938.1"	"modification methylase DpnIIA"	"6-phosphofructokinase 1"	"hypothetical protein"	"chemotaxis protein PomA"	"motility protein B"	"2-hydroxyglutaryl-CoA dehydratase, D-component"	"R-phenyllactate dehydratase activator"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"490"	"490"	"ADE87210.1"	"Rhodobacter_capsulatus_SB_1003"	"Alpha-proteo"	"GCA_000021865.1"	"fliL1"	""	""	"motA"	""	"hemS"	"hemN3"	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"ADE87207.1"	"ADE87208.1"	"ADE87209.1"	"ADE87210.1"	"ADE87211.1"	"ADE87212.1"	"ADE87213.1"	"flagellar basal body-associated protein FliL-1"	"conserved hypothetical protein"	"conserved hypothetical protein"	"chemotaxis protein MotA"	"conserved hypothetical protein"	"hemin transport protein HmuS"	"oxygen-independent coproporphyrinogen-III oxidase-3"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"491"	"491"	"ACM02576.1"	"Cereibacter_spaeroides_KD131_KCTC_12085"	"Alpha-proteo"	"GCA_000021005.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ACM02573.1"	"ACM02574.1"	"ACM02575.1"	"ACM02576.1"	"ACM02577.1"	"ACM02578.1"	"ACM02579.1"	"Flagellar basal body-associated protein FliL"	"Hypothetical Protein"	"Hypothetical Protein"	"Flagellar motor protein precursor"	"Hypothetical Protein"	"Lytic transglycosylase, catalytic precursor"	"Flagellar biosynthesis protein FlhA"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"492"	"492"	"ADL02462.1"	"Brevundimonas_subvibrioides_ATCC_15264"	"Alpha-proteo"	"GCA_000144605.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"ADL02459.1"	"ADL02460.1"	"ADL02461.1"	"ADL02462.1"	"ADL02463.1"	"ADL02464.1"	"ADL02465.1"	"conserved hypothetical protein"	"hypothetical protein"	"AMP-dependent synthetase and ligase"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"conserved hypothetical protein"	"tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"493"	"493"	"ACL94252.1"	"Caulobacter_crescentus_NA1000"	"Alpha-proteo"	"GCA_000022005.1"	"fixT"	"fixK"	""	"motA"	""	""	""	"+"	"-"	"+"	"-"	"-"	"-"	"-"	"ACL94255.2"	"ACL94254.1"	"ACL94253.2"	"ACL94252.1"	"AHI88541.1"	"ACL94250.2"	""	"hypoxia negative feedback regulator FixT"	"hypoxia transcriptional regulator FixK"	"transporter, major facilitator superfamily"	"flagellar motor stator protein MotA"	"hypothetical protein"	"tRNA methyltransferase/FAD-dependent oxidoreductase MnmC"	"small non-coding RNA"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"494"	"494"	"AEI88772.1"	"Midichloria_mitochondrii_IricVA"	"Alpha-proteo"	"GCA_000219355.1"	""	"baeS"	"corA"	"motA"	""	""	"hemK"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AEI88769.1"	"AEI88770.1"	"AEI88771.1"	"AEI88772.1"	"AEI88773.1"	"AEI88774.1"	"AEI88775.1"	"ferric uptake regulation protein"	"signal transduction histidine kinase"	"magnesium cobalt transport protein"	"flagellar motor protein MotA duplicate"	"hypothetical protein"	"5-formyltetrahydrofolate cyclo-ligase"	"modification methylase, HemK family"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"495"	"495"	"QNQ09341.1"	"spingomonas_alpina_DSM_22537"	"Alpha-proteo"	"GCA_014490665.1"	""	"flgK"	"flgL"	"motA"	""	""	"hemA"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"QNQ09338.1"	"QNQ09339.1"	"QNQ09340.1"	"QNQ09341.1"	"QNQ09342.1"	"QNQ09343.1"	"QNQ09344.1"	"rod-binding protein"	"flagellar hook-associated protein FlgK"	"flagellar hook-associated protein FlgL"	"flagellar motor stator protein MotA"	"OmpA family protein"	"DUF695 domain-containing protein"	"5-aminolevulinate synthase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"496"	"496"	"AHZ83632.1"	"Bdellovibrio_bacteriovorus_HD100"	"Bdellovibrionota"	"GCA_000691605.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"+"	"-"	"AHZ83635.1"	"AHZ83634.1"	"AHZ83633.1"	"AHZ83632.1"	"AHZ83631.1"	"AHZ83630.1"	"AHZ83629.1"	"hypothetical protein"	"chemotaxis protein"	"thiol:disulfide interchange protein"	"flagellar motor protein MotA"	"chemotaxis protein MotB"	"hypothetical protein"	"DNA polymerase III subunit alpha"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"497"	"497"	"ABQ62189.1"	"Brucella_ovis_ATCC_25840_chrom1"	"Alpha-proteo"	"GCA_000016845.1"	""	"flgF"	""	"motA"	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"ABQ62239.1"	"ABQ62905.1"	"ABQ62659.1"	"ABQ62189.1"	""	"ABQ62463.1"	"ABQ62634.1"	"flagellum-specific ATP synthase"	"flagellar basal-body rod protein FlgF"	"conserved hypothetical protein"	"chemotaxis motA protein"	""	"conserved domain protein"	"putative flagellar motor switch protein FliN"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"498"	"498"	"AIQ89863.1"	"Methylobacterium_oryzae_CBMB20"	"Alpha-proteo"	"GCA_000757795.1"	"flgF"	""	""	""	""	""	"fliN"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"AIQ89860.1"	"AIQ89861.1"	"AIQ89862.1"	"AIQ89863.1"	"AIQ89864.1"	"AIQ89865.1"	"AIQ89866.1"	"Flagellar basal-body rod protein flgF"	"Flagellar basal-body rod protein flgF"	"protein of unassigned function"	"Flagellar motor rotation protein MotA"	"Flagellar motor switch protein FliM"	"protein of unassigned function"	"Flagellar motor switch protein FliN"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"499"	"499"	"AEO48360.1"	"Rhodosprillum_rubrum_F11"	"Alpha-proteo"	"GCA_000225955.1"	""	""	""	""	""	""	""	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"AEO48357.1"	"AEO48358.1"	"AEO48359.1"	"AEO48360.1"	"AEO48361.1"	"AEO48362.1"	"AEO48363.1"	"TRAP-type C4-dicarboxylate transport system periplasmic component-like protein"	"penicillin amidase"	"flavin reductase-like, FMN-binding protein"	"motA, chemotaxis (motility protein A)"	"OmpA/MotB"	"hypothetical protein"	"arginyl-tRNA-protein transferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"500"	"500"	"CDK98316.1"	"Magnetosprillum_gryphiswaldense_MSR-1_v2"	"Alpha-proteo"	"GCA_000513295.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"CDK98319.1"	"CDK98318.1"	"CDK98317.1"	"CDK98316.1"	"CDK98315.1"	"CDK98314.1"	"CDK98313.1"	"putative Threonine dehydratase"	"putative hydroxyphenylacetate 3-monooxygenase reductase component"	"protein of unknown function"	"putative Motility protein A"	"putative Flagellar motor protein"	"conserved hypothetical protein; putative membrane protein"	"putative arginyl-tRNA--protein transferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"501"	"501"	"AIQ92722.1"	"Methylobacterium_oryzae_CBMB20"	"Alpha-proteo"	"GCA_000757795.1"	""	""	""	"motA"	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"AIQ92719.1"	"AIQ92720.1"	"AIQ92721.1"	"AIQ92722.1"	"AIQ92723.1"	"AIQ92724.1"	"AIQ92725.1"	"protein of unassigned function"	"Metal-dependent phosphohydrolase, HD subdomain protein"	"Transposase IS116/IS110/IS902 family"	"Flagellar motor rotation protein MotA"	"OmpA/MotB domain-containing protein"	"protein of unassigned function"	"protein of unassigned function"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"502"	"502"	"AIK95837.1"	"Paracaedibacter_acanthamoebae_isolate_PRA3"	"Alpha-proteo"	"GCA_000742835.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"+"	"+"	"+"	"AIK95840.1"	"AIK95839.1"	"AIK95838.1"	"AIK95837.1"	"AIK95836.1"	"AIK95835.1"	"AIK95834.1"	"2-dehydro-3-deoxyphosphooctonate aldolase"	"hypothetical protein"	"hypothetical protein"	"flagellar motor protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"503"	"503"	"UBQ05764.1"	"Tepidimonas_taiwanensis_LMG_22826"	"Beta-proteo"	"GCA_020162115.1"	""	""	""	"motA"	"motB"	"cheY"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"UBQ05761.1"	"UBQ05762.1"	"UBQ05763.1"	"UBQ05764.1"	"UBQ05765.1"	"UBQ05766.1"	"UBQ05767.1"	"YqjD family protein"	"phage holin family protein"	"YqjK-like family protein"	"flagellar motor stator protein MotA"	"flagellar motor protein MotB"	"chemotaxis response regulator CheY"	"protein phosphatase CheZ"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"504"	"504"	"APW42908.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"APW42910.1"	"APW44804.1"	"APW42909.1"	"APW42908.1"	"APW42907.1"	"APW42906.1"	"APW42905.1"	"Cd(II)/Pb(II)-responsive transcriptional regulator"	"hypothetical protein"	"hypothetical protein"	"flagellar motor stator protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"505"	"505"	"APW43194.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"+"	"-"	"-"	"APW43197.1"	"APW43196.1"	"APW43195.1"	"APW43194.1"	"APW43193.1"	"APW43192.1"	"APW43191.1"	"hypothetical protein"	"arylsulfatase"	"hypothetical protein"	"flagellar motor stator protein MotA"	"AraC family transcriptional regulator"	"flavodoxin"	"murein transglycosylase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"506"	"506"	"ATU66302.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	""	"motA"	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ATU66299.1"	"ATU66300.1"	"ATU66301.1"	"ATU66302.1"	"ATU66303.1"	"ATU66304.1"	"ATU66305.1"	"glycosyltransferase"	"flagellar transcriptional regulator FlhD"	"flagellar transcriptional regulator FlhC"	"flagellar motor stator protein MotA"	"motility protein MotB"	"chemotaxis protein CheY"	"protein phosphatase CheZ"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"507"	"507"	"QKS29226.1"	"Accumulibacter_similis_SSB1"	"Beta-proteo"	"GCA_013347225.1"	""	""	""	"motA"	"motB"	""	"purB"	"+"	"+"	"-"	"+"	"+"	"-"	"+"	"QKS29223.1"	"QKS29224.1"	"QKS29225.1"	"QKS29226.1"	"QKS29227.1"	"QKS29228.1"	"QKS29229.1"	"DUF3149 domain-containing protein"	"energy transducer TonB"	"NUDIX hydrolase"	"flagellar motor stator protein MotA"	"flagellar motor protein MotB"	"glutathione S-transferase"	"adenylosuccinate lyase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"508"	"508"	"AJJ54987.1"	"Yersinia_pseudotuberculosis_IP_32953"	"Gamma-proteo"	"GCA_000834295.1"	"mgtA"	""	"flhC"	"motA"	"motB"	"cheA"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AJJ53734.1"	"AJJ56657.1"	"AJJ53267.1"	"AJJ54987.1"	"AJJ55678.1"	"AJJ57181.1"	"AJJ54175.1"	"magnesium-translocating P-type ATPase"	"flagellar transcriptional activator family protein"	"flagellar transcriptional regulator FlhC"	"flagellar motor stator protein MotA"	"motility protein B"	"chemotaxis protein CheA"	"cheW-like domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"509"	"509"	"AJJ32465.1"	"Yersinia_pestis_Dodson"	"Gamma-proteo"	"GCA_000834775.1"	"mgtA"	""	"flhC"	"motA"	"motB"	"cheA"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AJJ33343.1"	"AJJ30872.1"	"AJJ30122.1"	"AJJ32465.1"	"AJJ29914.1"	"AJJ32492.1"	"AJJ31576.1"	"magnesium-translocating P-type ATPase"	"flagellar transcriptional activator family protein"	"flagellar transcriptional regulator FlhC"	"flagellar motor stator protein MotA"	"motility protein B"	"chemotaxis protein CheA"	"cheW-like domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"510"	"510"	"QXB11670.1"	"Klebsiella_aerogenes_FDAARGOS_1442"	"Gamma-proteo"	"GCA_019048125.1"	""	"flhD"	"flhC"	"motA"	"motB"	"cheA"	"cheW"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"QXB11667.1"	"QXB11668.1"	"QXB11669.1"	"QXB11670.1"	"QXB11671.1"	"QXB11672.1"	"QXB11673.1"	"aminoimidazole riboside kinase"	"flagellar transcriptional regulator FlhD"	"flagellar transcriptional regulator FlhC"	"flagellar motor stator protein MotA"	"flagellar motor protein MotB"	"chemotaxis protein CheA"	"chemotaxis protein CheW"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"511"	"511"	"AAC74960.1"	"Escherichia_coli_K-12_subMG1655"	"Gamma-proteo"	"GCA_000005845.2"	"flhD"	"flhC"	"motR"	"motA"	"motB"	"cheA"	"cheW"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AAC74962.2"	"AAC74961.1"	""	"AAC74960.1"	"AAC74959.1"	"AAC74958.2_UMR55122.1"	"AAC74957.1"	"DNA-binding transcriptional dual regulator FlhD"	"DNA-binding transcriptional dual regulator FlhC"	"small RNA MotR"	"motility protein A"	"motility protein B"	"chemotaxis protein CheA"	"chemotaxis protein CheW"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"512"	"512"	"QKY95842.1"	"Shigella_sonnei_SE6-1"	"Gamma-proteo"	"GCA_013374815.1"	"uspC"	"flhD"	"flhC"	"motA"	"motB"	"cheA"	"cheW"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"QKY95839.1"	"QKY95840.1"	"QKY95841.1"	"QKY95842.1"	"QKY95843.1"	"QKY95844.1"	"QKY95845.1"	"universal stress protein UspC"	"flagellar transcriptional regulator FlhD"	"flagellar transcriptional regulator FlhC"	"flagellar motor stator protein MotA"	"flagellar motor protein MotB"	"chemotaxis protein CheA"	"chemotaxis protein CheW"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"513"	"513"	"QEI18926.1"	"Cellvibrio_japonicus_ADPT1-KOJIBIOSE"	"Gamma-proteo"	"GCA_008120875.1"	""	""	""	"motA"	"motB"	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"-"	"QEI18923.1"	"QEI18924.1"	"QEI18925.1"	"QEI18926.1"	"QEI18927.1"	"QEI18928.1"	"QEI18929.1"	"DUF1244 domain-containing protein"	"hypothetical protein"	"molecular chaperone HscC"	"flagellar motor stator protein MotA"	"flagellar motor protein MotB"	"DUF1993 domain-containing protein"	"Kef family K(+) transporter"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"514"	"514"	"AJJ32757.1"	"Yersinia_pestis_Dodson"	"Gamma-proteo"	"GCA_000834775.1"	""	""	""	"motA"	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AJJ32469.1"	"AJJ29933.1"	"AJJ32782.1"	"AJJ32757.1"	"AJJ32917.1"	"AJJ30949.1"	"AJJ30031.1"	"flagellar hook-length control FliK family protein"	"flagellar basal body-associated FliL family protein"	"RNA polymerase sigma factor, FliA/WhiG family protein"	"flagellar motor stator protein MotA"	"membrane MotB of proton-channel complex MotA/MotB family protein"	"hypothetical protein"	"putative membrane protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"515"	"515"	"AJJ56783.1"	"Yersinia_pseudotuberculosis_IP_32953"	"Gamma-proteo"	"GCA_000834295.1"	""	""	""	"motA"	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AJJ57197.1"	"AJJ56749.1"	"AJJ55265.1"	"AJJ56783.1"	"AJJ55251.1"	"AJJ53257.1"	"AJJ55191.1"	"flagellar hook-length control FliK family protein"	"flagellar basal body-associated FliL family protein"	"RNA polymerase sigma factor, FliA/WhiG family protein"	"flagellar motor stator protein MotA"	"membrane MotB of proton-channel complex MotA/MotB family protein"	"hypothetical protein"	"putative membrane protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"516"	"516"	"BAC62899.1"	"Vibrio_parahaemolyticus_RIMD_2210633_chrom1"	"Gamma-proteo"	"GCA_000196095.1"	"VPA1553"	"VPA1554"	"VPA1555"	"VPA1556"	"VPA1557"	"VPA1558"	"VPA1559"	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"BAC62896.1"	"BAC62897.1"	"BAC62898.1"	"BAC62899.1"	"BAC62900.1"	"BAC62901.1"	"BAC62902.1"	"LafE"	"LafF"	"flagellar-specific transcription initiation factor sigma, LafS"	"chemotaxis LafT protein"	"chemotaxis LafU protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"517"	"517"	"ATU65955.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	""	""	""	"flgM"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ATU68589.1"	"ATU65957.1"	"ATU65956.1"	"ATU65955.1"	"ATU65954.1"	"ATU65953.1"	"ATU65952.1"	"hypothetical protein"	"flagellar basal body protein"	"RNA polymerase sigma factor FliA"	"flagellar motor stator protein MotA"	"histidine kinase"	"flagellar biosynthesis anti-sigma factor FlgM"	"flagellar protein FlgN"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"518"	"518"	"AAG08339.1"	"Pseudomonas_aeruginosa_PAO1"	"Gamma-proteo"	"GCA_000006765.1"	"psd"	"rhdA"	""	"motA"	"motB"	""	"orn"	"+"	"+"	"+"	"-"	"-"	"+"	"-"	"AAG08342.1"	"AAG08341.1"	"AAG08340.1"	"AAG08339.1"	"AAG08338.1"	"AAG08337.1"	"AAG08336.1"	"phosphatidylserine decarboxylase"	"thiosulfate:cyanide sulfurtransferase"	"hypothetical protein"	"chemotaxis protein MotA"	"chemotaxis protein MotB"	"conserved hypothetical protein"	"oligoribonuclease"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
