	Download script?	GenBank ID	RefSeq	FTP path	GenBank accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	Isolation source	Habitat/Lifestyle	flag-1	flag-2	flag-3a	flag-3b	flag-4	flag-5	sum	3ish	3plain	manual	which	spname_in_lit	notes31	group	notes32
	NJM_2023-07-19	GCA_000211835.2	GCF_000211835.1		ASM21183v1		Motile	Proteobacteria;	Gammaproteobacteria;	Burkholderiales;	Burkholderiaceae	Hylemonella	gracilis	Canale-Parola D4, ATCC 19624																Hylemonella gracilis		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000013025.1	GCF_000013025.1		ASM1302v1		Motile	Proteobacteria;	Alphaproteobacteria;	Caulobacterales;	Hyphomonadaceae	Hyphomonas	neptunium	ATCC 15444																Hyphomonas neptunium		Alpha	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000008465.1	GCF_000008465.1		ASM846v1		Motile	Proteobacteria;	Gammaproteobacteria;	Enterobacterales;	Alteromonadaceae	Idiomarina	loihiensis	L2TR																Idiomarina lohiensis		non-enteric Gamma	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000331715.1	GCF_000331715.1		ASM33171v1		Motile	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Lawsonia	intracellularis	N343																Lawsonia intracellularis		Delta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_001753085.1	GCF_001753085.1		ASM175308v1		Motile	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	pneumophila	C9_S																Legionella pneumophila		non-enteric Gamma	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000017685.1	GCF_000017685.1		ASM1768v1		Motile	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	biflexa	Patoc 1 (Paris)																Leptospira biflexa serovar Patoc strain Patoc 1		Na+_or_H+	powerSource
	NJM_2023-07-19	GCA_000007685.1	GCF_000007685.1		ASM768v1		Motile	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	interrogans	Copenhageni Fiocruz L1-130																Leptospira interrogans			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000014865.1	GCF_000014865.1		ASM1486v1		Motile	Proteobacteria	Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetococcus	marinus	MC-1																Magnetococcus marinus		non-labeled	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000015365.1	GCF_000015365.1		ASM1536v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	nauticus	VT8																Marinobacter aquaeolei		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000235625.2	GCF_000235625.1		ASM23562v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	manganoxydans	MnI7-9																Marinobacter manganoxydans		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000166295.1	GCF_000166295.1		ASM16629v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	adhaerens	HP15																Marinobacter_adhaerens			Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-19	GCA_000284615.1	GCF_000284615.1		ASM28461v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	hydrocarbonoclasticus	ATCC 49840																Marinobacter_hydrocarbonclasticus			Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-19	GCA_000192865.1	GCF_000192865.1		ASM19286v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas	mediterranea	MMB-1, ATCC 700492																Marinomonas_sp._MWYL1	Genbank suppressed; NJM replacing with Marinomonas mediterranea MMB-1, ATCC 700492		Ferreira_Beeby_2021_organisms.txt
	NJM_2023-07-19	GCA_000384055.1	GCF_000384055.1		ASM38405v1		Motile	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	loti	NZP2037		JGI has Mesorhizobium jarvisii														Mesorhizobium loti		Alpha2	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000013705.1	GCF_000013705.1		ASM1370v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus	flagellatus	KT																Methylobacillus flagellatus		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000190755.3	GCF_000190755.2		ASM19075v3		Motile	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter	tundripaludum	SV96																Methylobacter tundripaludum		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000023705.1	GCF_000023705.1		ASM2370v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	mobilis	JLW8																Methylotenera mobilis		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000286435.2	GCF_000286435.2		ASM28643v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Morganella	morganii	KT		also in 5 flagella paper	Human	Clinical	NC_020418	-	-	-	-	-	1			0	flag-1	Morganella_morganii			Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-19	GCA_000276805.1	GCF_000276805.1		ASM27680v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Moritellaceae	Moritella	dasanensis	ArB 0140																Moritella dasanensis		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000021725.1	GCF_000021725.1		ASM2172v1		Motile	Campylobacterota	Campylobacteria	Nautiliales	Nautiliaceae	Nautilia	profundicola	AmH		also Epsilonproteobacteria 														Nautilia profundicola		Epsilon	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000012805.1	GCF_000012805.1		ASM1280v1		Motile	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	Nitrosococcus	oceani	ATCC 19707 = C-107																Nitrosococcus oceani		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000014765.1	GCF_000014765.1		ASM1476v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	eutropha	C91																Nitrosomonas eutropha		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000381965.1	GCF_000381965.1		ASM38196v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Oceanimonas	smirnovii	ATCC BAA-899																Oceanimonas smirnovii 1		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000011245.1	GCF_000011245.1		ASM1124v1		Motile	Firmicutes	Bacilli	Bacillales_D	Amphibacillaceae	Oceanobacillus	iheyensis	HTE831 = DSM 14371																Oceanobacillus iheyensis strain DSM 14371		H+	powerSource
	NJM_2023-07-19	GCA_000155735.2	GCF_000155735.2		ASM15573v2		Motile	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	arcticus	238																Octadecabacter arcticus		Alpha	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000732325.1	GCF_000732325.1		ASM73232v1		Motile	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	sp.	TCA20																Paenibacillus sp TCA20		Mg2+_or_Ca2+_or_Sr2+	powerSource
	NJM_2023-07-19	GCA_000017565.1	GCF_000017565.1		ASM1756v1		Motile	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	Parvibaculum	lavamentivorans	DS-1																Parvibaculum lavamentivorans		Alpha	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000012885.1	GCF_000012885.1		ASM1288v1		Motile	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea	carbinolica	DSM 2380		formerly Pelobacter carbinolicus														Pelobacter carbinolicus		Delta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000211495.1	GCF_000211495.1		ASM21149v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	leiognathi	mandapamensis svers.1.1																Photobacterium leiognathi 1		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_002631085.2	GCF_002631085.1		ASM263108v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	leiognathi	JS01																			
	NJM_2023-07-19	GCA_000196255.1	GCF_000196255.1		ASM19625v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	profundum	SS9																Photobacterium profundum 1		non-enteric Gamma	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000798635.2	GCF_000798635.1		ASM79863v2		Motile	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus	luminescens	NBAII HiPL101																Photorhabdus luminescens		enteric	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-20	GCA_000025185.1	GCF_000025185.1		ASM2518v1		Motile	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	staleyi	DSM 6068																Pirellula staleyi		Others	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_003019855.1	GCF_003019855.1		ASM301985v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	shigelloides	MS-17-188																Plesiomonas shigelloides (1)		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_000238355.2	GCF_000238355.1		Phal_1.0		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	haloplanktis	ATCC 14393																Pseudoalteromonas haloplanktis		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_000333235.1	GCF_000333235.1		ASM33323v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	luteoviolacea	B = ATCC 29581																Pseudoalteromonas luteoviolacea		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_000153245.1	GCF_000153245.1		ASM15324v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	tunicata	D2																Pseudoalteromonas tunicata		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_002374815.1	GCF_002374815.1		ASM237481v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	atlantica	ECSMB14104																Pseudoalteromonas_atlantica			Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-20	GCA_001729505.1	GCF_001729505.1		ASM172950v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa	ATCC 15692																Pseudomonas aeruginosa strain ATCC 15692		H+	powerSource
	NJM_2023-07-20	GCA_000012245.1	GCF_000012245.1		ASM1224v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	syringae	B728a																Pseudomonas syringae		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_000196115.1	GCF_000196115.1		ASM19611v1		Motile	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	baltica	SH 1																			
	NJM_2023-07-20	GCA_000013045.1	GCF_000013045.1		ASM1304v1		Motile	Bacteroidota	Rhodothermia	Rhodothermales	Salinibacteraceae	Salinibacter	ruber	DSM 13855 = M31																Salinibacter ruber			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-20	GCA_000006945.2	GCF_000006945.2		ASM694v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	enterica	enterica serovar Typhimurium str. LT2																Salmonella typhimurium strain LT2		H+	powerSource
	NJM_2023-07-20	GCA_000381005.1	GCF_000381005.1		ASM38100v1		Motile	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	bovis	DSM 23594																Selenomonas bovis		Others	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-20	GCA_000264275.1	GCF_000264275.1		ASM26427v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	marcescens	LCT-SM213																Serratia_marcescens			Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-20_end	GCA_025402875.1	GCF_025402875.1		ASM2540287v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	putrefaciens	4H		Shewanella putrefaciens CN-32 is suppressed (Florian Rossmann et al. (2015). The role of FlhF and HubP as polar landmark proteins inShewanella putrefaciens CN-32. Molecular Microbiology(2015)98(4), 727–742. http://dx.doi.org/10.1111/mmi.13152) ; 4H is the reference strain																	
1	NJM_2023-07-18_backwards	GCA_000146165.2	GCF_000146165.2		ASM14616v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	oneidensis	MR-1																Shewanella oneidensis MR 1		Na+	powerSource
2	NJM_2023-07-18_backwards	GCA_000018025.1	GCF_000018025.1		ASM1802v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	sediminis	HAW-EB3																Shewanella sediminis 1		Gamma	Ferreira_Beeby_2021_Fig1A
3	NJM_2023-07-18_backwards	GCA_000007405.1	GCF_000007405.1		ASM740v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	flexneri	sv. 2a 2457T																Shigella_flexneri			Ferreira_Beeby_2021_Fig1BC
4	NJM_2023-07-18_backwards	GCA_000025705.1	GCF_000025705.1		ASM2570v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	lithotrophicus	ES-1																Sideroxydans lithotrophicus		Beta	Ferreira_Beeby_2021_Fig1A
5	NJM_2023-07-18_backwards	GCA_000006965.1	GCF_000006965.1		ASM696v1		Motile	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	meliloti	1021																Sinorhizobium meliloti		Alpha2	Liu_Ochman_2007b_FigS2_2eqSecondary
6	NJM_2023-07-18_backwards	GCA_000007045.1	GCF_000007045.1		ASM704v1		Motile	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pneumoniae	R6																Streptococcus pneumoniae		H+	powerSource
7	NJM_2023-07-18_backwards	GCA_000024905.1	GCF_000024905.1		ASM2490v1		Motile	Synergistota	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	acidaminovorans	Su883, DSM 6589																Thermanaerovibrio acidaminovorans		Others	Ferreira_Beeby_2021_Fig1A
8	NJM_2023-07-18_backwards	GCA_000020985.1	GCF_000020985.1		ASM2098v1		Motile	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	yellowstonii	DSM 11347																Thermodesulfovibrio yellowstonii		non-labeled	Ferreira_Beeby_2021_Fig1A
9	NJM_2023-07-18_backwards	GCA_000008545.1	GCF_000008545.1		ASM854v1		Motile	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	maritima	MSB8																Thermotoga maritima			Liu_Ochman_2007b_FigS2_2eqSecondary
10	NJM_2023-07-18_backwards	GCA_000018945.1	GCF_000018945.1		ASM1894v1		Motile	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	neapolitana	DSM 4359																Thermotoga neapolitana		Others	Ferreira_Beeby_2021_Fig1A
11	NJM_2023-07-18_backwards	GCA_000021985.1	GCF_000021985.1		ASM2198v1		Motile	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	sulfidiphilus	HL-EbGr7																Thioalkalivibrio sp.		Gamma	Ferreira_Beeby_2021_Fig1A
12	NJM_2023-07-18_backwards	GCA_000012745.1	GCF_000012745.1		ASM1274v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	denitrificans	ATCC 25259																Thiobacillus denitrificans 1		Beta	Ferreira_Beeby_2021_Fig1A
13	NJM_2023-07-18_backwards	GCA_004786015.1	GCF_004786015.1		ASM478601v1		Motile	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	crunogenus	SP-41		formerly Thiomicrospira crunogena																	
14	NJM_2023-07-18_backwards	GCA_000008185.1	GCF_000008185.1		ASM818v1		Motile	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema	denticola	ATCC 35405																Treponema denticola			Liu_Ochman_2007b_FigS2_2eqSecondary
15	NJM_2023-07-18_backwards	GCA_000153505.1	GCF_000153505.1		ASM15350v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	alginolyticus	12G01																Vibrio alginolyticus		Na+	powerSource
16	NJM_2023-07-18_backwards	GCA_000006745.1	GCF_000006745.1		ASM674v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	cholerae	serotype O1 strain ATCC 39315 / O1 biovar El Tor str. N16961																Vibrio cholerae serotype O1 strain ATCC 39315		Na+	powerSource
17	NJM_2023-07-18_backwards	GCA_000011805.1	GCF_000011805.1		ASM1180v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio	fischeri	ES114		formerly Vibrio fischeri														Vibrio fischeri		Gamma	Ferreira_Beeby_2021_Fig1A
18	NJM_2023-07-18_backwards	GCA_000152765.1	GCF_000152765.1		ASM15276v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	splendidus	12B01																Vibrio splendidus		Na+	powerSource
19	NJM_2023-07-18_backwards	GCA_000009745.1	GCF_000009745.1		ASM974v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	vulnificus	YJ016																Vibrio vulnificus		Gamma	Ferreira_Beeby_2021_Fig1A
20	NJM_2023-07-18_backwards	GCA_000196135.1	GCF_000196135.1		ASM19613v1		Motile	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Wolinella	succinogenes	DSM 1740																Wolinella succinogenes		Epsilon	Ferreira_Beeby_2021_Fig1A
21	NJM_2023-07-18_backwards	GCA_000348585.1	GCF_000348585.1		ASM34858v1		Motile	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	axonopodis	Xac29-1																Xanthomonas axonopodis		non-enteric Gamma	Liu_Ochman_2007b_FigS2_2eqSecondary
22	NJM_2023-07-18_backwards	GCA_000168235.2	GCF_000168235.2		ASM16823v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	pestis	IP275																Yersinia pestis biovar Orientalis str IP275		H+	powerSource
23	NJM_2023-07-18_backwards	GCA_000024245.1	GCF_000024245.1		ASM2424v1		Motile	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	mobilis	NCIB 11163																Zymomonas mobilis		Alpha	Ferreira_Beeby_2021_Fig1A
24	NJM_2023-07-18_end	GCA_000007785.1	GCF_000007785.1		ASM778v1		Motile	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	V583																			
25	NJM_2023-07-18_end	GCA_000008125.1	GCF_000008125.1		ASM812v1		Motile	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	thermophilus	HB27																			
	5flag_systems	GCA_000427805.1	GCF_000427805.1		ASM42780v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Budvicia	aquatica	DSM 5075, ATCC 35567			Environment	Freshwater	-	ATYS01000002	-	-	-	-	1			1	flag-2				
	5flag_systems	GCA_000439085.1	GCF_000439085.1		ASM43908v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leminorella	grimontii	ATCC 33999 = DSM 5078			Human	Clinical	-	JMPN01000025	-	-	-	-	1			1	flag-2				
	5flag_systems	GCA_000878365.1	GCF_000878365.1		ASM87836v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	hermannii	DDE1			Plant	Saprophyte	JXTQ01000002/JXTQ01000004/JXTQ01000012	-	-	-	-	-	1			1	flag-1				
	5flag_systems	GCA_003818135.1	GCF_003818135.1		ASM381813v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	warmboldiae	CCUG 35512			Animal (mollusc)	Commensal	RPOH01000013/RPOH01000087/RPOH01000099	RPOH01000019	-	RPOH01000021/RPOH01000045	-	-	3	3	3		flag-1, flag-2, flag-3b				
	5flag_systems	GCA_002918555.1	GCF_002918555.1		ASM291855v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	amalonaticus	S646		formerly Citrobacter Clade C Citrobacter sp. nov 6 S646	Environment	Food (vegetable)	PQMB01000001/PQMB01000002	PQMB01000002	-	PQMB01000009	-	-	3	3	3	1	flag-1, flag-2, flag-3b				
	5flag_systems	GCA_000319285.1	GCF_000319285.1		ASM31928v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	condimenti	LMG 26250			Environment	Food (meat)	CP012264	-	-	-	-	-	1			1	flag-1				
	5flag_systems	GCA_001023305.1	GCF_001023305.1		ASM102330v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	bugandensis	GN02283			Human	Clinical	LEEJ01000009/LEEJ01000037	-	LEEJ01000009	-	-	-	2			1	flag-3				
	5flag_systems	GCA_002278205.1	GCF_002278205.1		ASM227820v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	sichuanensis	DS36577		on GenBank, Enterobacter cloacae Strain: DS36577	Human	N/A	NPNJ01000003/NPNJ01000009/NPNJ01000013	-	-	-	-	-	1			1	flag-1	Enterobacter_cloacae			Ferreira_Beeby_2021_Fig1BC
	5flag_systems	GCA_000953895.1	GCF_000953895.1		ASM95389v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	sichuanensis	MRY13-0312		on GenBank, Enterobacter cloacae Strain: MRY13-0312	Human	N/A	BBUQ01000002/BBUQ01000029/BBUQ01000096	-	BBUQ01000003	-	-	-	2			1	flag-1, flag-3a				
	5flag_systems	GCA_001022965.1	GCF_001022965.1		ASM102296v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	genomosp. O	GN03164		on GenBank, Enterobacter sp. nov 10 GN03164	Human	Clinical	LECZ01000022/LECZ01000027	LECZ01000026	LECZ01000022	-	-	-	3	3	3	1	flag-1, flag-2, flag-3a				
	5flag_systems	GCA_001276415.1	GCF_001276415.1		ASM127641v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter	gergoviae	C3			Human	Clinical	LDVW01000001/LDVW01000024/LDVW01000232/LDVW01000304	-	-	LDVW01000009/LDVW01000176	-	-	2			1	flag-3b				
	5flag_systems	GCA_014653055.1	GCF_014653055.1		ASM1465305v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudocitrobacter	faecalis	DSM 27453			N/A	N/A	QNRL01000001/QNRL01000007	QNRL010000007	-	-	-	-	2			1	flag-1, flag-2				
	5flag_systems	GCA_000027205.1	GCF_000027205.1		ASM2720v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	amylovora	ATCC 49946, Ea273			Plant	Pathogen	NC_013971	-	NC_013971	-	-	-	2			1	flag-1, flag-3a				
	5flag_systems	GCA_000773975.1	GCF_000773975.1		ASM77397v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	typographi	M043b			Environment	Freshwater	JRUQ01000004/JRUQ01000012/JRUQ01000050	-	-	JRUQ01000037	-	-	2			1	flag-3a				
	5flag_systems	GCA_002895925.1	GCF_002895925.1		ASM289592v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mixta	theicola	QC88-366			Environment	Food (Tea)	NWUO01000001/NWUO01000013/NWUO01000019	-	-	NWUO01000009	-	-	2			1	flag-1, flag-3b				
	5flag_systems	GCA_004344785.1	GCF_004344785.1 		ASM434478v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	agglomerans	ES418			Environment	Soil	SIJO01000001/SIJO01000012/SIJO01000014	-	SIJO01000011	-	-	-	2			1	flag-1, flag-3a				
	5flag_systems	GCA_000773965.1	GCF_000773965.1 		ASM77396v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	cancerogenus	M004		formerly Pantoea cancerogenus M004	Environment	Freshwater	JRUP01000004/JRUP01000014/JRUP01000027/JRUP01000050	-	JRUP01000018	-	-	-	2			1	flag-1, flag-3a				
	5flag_systems	GCA_001476295.1	GCF_001476295.1		ASM147629v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	dispersa	NS375			Plant	Saprophyte	LDRZ01000002/LDRZ01000004/LDRZ01000018	-	-	LDRZ01000002	-	-	2			1	flag-1, flag-3b				
	5flag_systems	GCA_002095575.1	GCF_002095575.1		ASM209557v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	septica	LMG 5345			Human	Clinical	MLJJ01000001/MLJJ01000006	-	-	MLJJ01000004	-	-	2			1	flag-3				
	5flag_systems	GCA_002163605.1	GCF_002163605.1		ASM216360v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Tatumella	citrea	ATCC 39140			Plant	Pathogen	CP015581	-	-	-	-	-	1			1	flag-1				
	5flag_systems	GCA_000439895.1	GCF_000439895.1		atcc_33301_v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Tatumella	ptyseos	ATCC 33301			Human	Clinical	-	JMPR01000018	-	-	-	-	1			1	flag-2				
	5flag_systems	GCA_000247565.1	GCF_000247565.1		ASM24756v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Wigglesworthia	glossinidia			endosymbiont of Glossina morsitans	Insect	Symbiont	-	-	-	-	NC_016893	-	1			1	flag-2				
	5flag_systems	GCA_000239255.1	GCF_000239255.1		ASM23925v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	paralvei	ATCC 51873		GenBank says: Hafnia alvei	Human	Commensal	JH417506/JH417511/JH417529	JH417556	-	-	-	-	2			1	flag-1				
	5flag_systems	GCA_001586165.1	GCF_001586165.1		ASM158616v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Obesumbacterium	proteus	DSM 2777			Environment	Food (Brewery yeast)	CP014608	CP014608	-	CP014608	-	-	3	3	3	1	flag-3				
