	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
293	389	AEB12216.1	Marinithermus hydrothermalis DSM 14884	NA	NA	NA	NA	NA	NA	NA	+	+	+	-	-	-	+	AEB12219.1	AEB12218.1	AEB12217.1	AEB12216.1	AEB12215.1	AEB12214.1	AEB12213.1	protein of unknown function DUF178	putative menaquinone biosynthesis protein	hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	"fructose-1,6-bisphosphatase, class II"	GCA_000195335.1_ASM19533v1	genomes/GCA_000195335.1_ASM19533v1/GCA_000195335.1_ASM19533v1_feature_table.txt
294	390	ADI15492.1	Truepera radiovictrix DSM 17093	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	ADI15495.1	ADI15494.1	ADI15493.1	ADI15492.1	ADI15491.1	ADI15490.1	ADI15489.1	arsenate reductase-like protein	metallophosphoesterase	Phosphoenolpyruvate carboxylase	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	peptidase S8 and S53 subtilisin kexin sedolisin	GCA_000092425.1_ASM9242v1	genomes/GCA_000092425.1_ASM9242v1/GCA_000092425.1_ASM9242v1_feature_table.txt
295	391	ACX74513.1	Fibrobacter succinogenes subsp. succinogenes S85								-	-	-	-	-	-	-	ACX74516.1	ACX74515.1	ACX74514.1	ACX74513.1	ACX74512.1	ACX74511.1	ACX74510.1	TonB-dependent receptor plug	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
296	392	BAS27557.1	Limnochorda pilosa	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	BAS27554.1	BAS27555.1	BAS27556.1	BAS27557.1	BAS27558.1	BAS27559.1	BAS27560.1	RNA polymerase sigma factor	phosphotransferase	acetyltransferase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_001544015.1_ASM154401v1	genomes/GCA_001544015.1_ASM154401v1/GCA_001544015.1_ASM154401v1_feature_table.txt
297	393	ADY81529.1	Acinetobacter pittii PHEA-2	gidB	soj	spoOJ		exbD	msbA	lpxK	+	+	+	+	+	+	+	ADY81526.1	ADY81527.1	ADY81528.1	ADY81529.1	ADY81530.1	ADY81531.1	ADY81532.1	glucose-inhibited division protein B (methyltransferase)	chromosome partitioning protein	chromosome partitioning protein	hypothetical protein	possible biopolymer transport protein ExbD/TolR	lipid transport protein	tetraacyldisaccharide 4'-kinase (lipid A 4'-kinase)	GCA_000191145.1_ASM19114v1	genomes/GCA_000191145.1_ASM19114v1/GCA_000191145.1_ASM19114v1_feature_table.txt
298	395	QKS29102.1	Candidatus Accumulibacter similis	ssb							+	-	-	+	+	+	+	QKS29099.1	QKS29100.1	QKS29101.1	QKS29102.1	QKS29103.1	QKS29104.1	QKS29105.1	single-stranded DNA-binding protein	superoxide dismutase [Fe]	exodeoxyribonuclease VII large subunit	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	tetraacyldisaccharide 4'-kinase	Trm112 family protein	GCA_013347225.1_ASM1334722v1	genomes/GCA_013347225.1_ASM1334722v1/GCA_013347225.1_ASM1334722v1_feature_table.txt
299	396	ATU65616.1	Rhizobacter gummiphilus								-	+	+	-	-	-	-	ATU65619.1	ATU65618.1	ATU65617.1	ATU65616.1	ATU68567.1	ATU65615.1	ATU65614.1	hypothetical protein	superoxide dismutase [Fe]	exodeoxyribonuclease VII large subunit	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	tetraacyldisaccharide 4'-kinase	hypothetical protein	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
300	397	UBQ05954.1	Tepidimonas taiwanensis			xseA			lpxK		-	+	+	-	-	-	-	UBQ05957.1	UBQ05956.1	UBQ05955.1	UBQ05954.1	UBQ05953.1	UBQ05952.1	UBQ05951.1	DUF192 domain-containing protein	superoxide dismutase [Fe]	exodeoxyribonuclease VII large subunit	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	tetraacyldisaccharide 4'-kinase	Trm112 family protein	GCA_020162115.1_ASM2016211v1	genomes/GCA_020162115.1_ASM2016211v1/GCA_020162115.1_ASM2016211v1_feature_table.txt
301	398	APW42522.1	Rhodoferax saidenbachensis								+	+	+	-	-	-	-	APW42524.1	APW42523.1	APW44761.1	APW42522.1	APW42521.1	APW42520.1	APW42519.1	"isocitrate dehydrogenase, NADP-dependent"	superoxide dismutase	exodeoxyribonuclease VII large subunit	flagellar motor protein MotA	biopolymer transporter ExbD	tetraacyldisaccharide 4'-kinase	tetraacyldisaccharide 4'-kinase	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
302	400	ATX81215.1	Mariprofundus ferrinatatus	NA	NA	NA	NA	NA	NA	NA	-	+	+	+	+	+	+	ATX81212.1	ATX81213.1	ATX81214.1	ATX81215.1	ATX81216.1	ATX81217.1	ATX81218.1	hypothetical protein	diaminohydroxyphosphoribosylaminopyrimidine deaminase	competence protein ComEC	biopolymer transport protein ExbB	biopolymer transport protein ExbD/biopolymer transport protein TolR	aspartate kinase	"carbon storage regulator, CsrA"	GCA_002795825.1_ASM279582v1	genomes/GCA_002795825.1_ASM279582v1/GCA_002795825.1_ASM279582v1_feature_table.txt
303	401	ATX80498.1	Mariprofundus aestuarium	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	ATX80501.1	ATX80500.1	ATX80499.1	ATX80498.1	ATX80497.1	ATX80496.1	ATX80495.1	phosphoglycerate mutase	protein of unknown function (DUF4126)	competence protein ComEC	biopolymer transport protein ExbB	biopolymer transport protein ExbD/biopolymer transport protein TolR	aspartate kinase	"carbon storage regulator, CsrA"	GCA_002795805.1_ASM279580v1	genomes/GCA_002795805.1_ASM279580v1/GCA_002795805.1_ASM279580v1_feature_table.txt
304	402	QTD50766.1	Sulfidibacter corallicola								-	-	+	-	-	-	+	QTD50769.1	QTD50768.1	QTD50767.1	QTD50766.1	QTD50765.1	QTD50764.1	QTD50763.1	efflux RND transporter permease subunit	efflux transporter outer membrane subunit	S9 family peptidase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	SpoIID/LytB domain-containing protein	hypothetical protein	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
305	403	USF25003.1	Mucispirillum schaedleri ASF457	rqcH	surE		exbB	tolR		purL	+	+	+	+	+	+	+	USF25000.1	USF25001.1	USF25002.1	USF25003.1	USF25004.1	USF25005.1	USF25006.1	Rqc2 RqcH	5'-nucleotidase SurE	hypothetical protein	Biopolymer transport protein ExbB	Tol-Pal system protein TolR	hypothetical protein	Phosphoribosylformylglycinamidine synthase	GCA_000487995.2_ASM48799v2	genomes/GCA_000487995.2_ASM48799v2/GCA_000487995.2_ASM48799v2_feature_table.txt
306	404	AEI15149.1	Flexistipes sinusarabici DSM 4947	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	AEI15152.1	AEI15151.1	AEI15150.1	AEI15149.1	AEI15148.1	AEI15147.1	AEI15146.1	CoA-disulfide reductase	Multifunctional protein surE	hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	protein of unknown function DUF185	GCA_000218625.1_ASM21862v1	genomes/GCA_000218625.1_ASM21862v1/GCA_000218625.1_ASM21862v1_feature_table.txt
307	405	QAR32927.1	Geovibrio thiophilus	modD	surE						+	+	+	+	+	+	+	QAR32924.1	QAR32925.1	QAR32926.1	QAR32927.1	QAR32928.1	QAR32929.1	QAR32930.1	ModD protein	5'/3'-nucleotidase SurE	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	SAM-dependent methyltransferase	GCA_004087915.1_ASM408791v1	genomes/GCA_004087915.1_ASM408791v1/GCA_004087915.1_ASM408791v1_feature_table.txt
308	407	QAT17178.1	Candidatus Velamenicoccus archaeovorus								-	-	-	-	-	-	-	QAT17180.1	QAT18026.1	QAT17179.1	QAT17178.1	QAT17177.1	QAT17176.1	QAT17175.1	hypothetical protein	excinuclease ABC subunit A	hypothetical protein	hypothetical protein	biopolymer transport protein ExbD	hypothetical protein	hypothetical protein	GCA_004102945.1_ASM410294v1	genomes/GCA_004102945.1_ASM410294v1/GCA_004102945.1_ASM410294v1_feature_table.txt
309	408	EKT87417.1	Leptospira santarosai serovar Shermani str. LT 821								-	-	-	+	+	-	-	EKT87420.1	EKT87419.1	EKT87418.1	EKT87417.1	EKT87416.1	EKT87415.1	EKT87413.1	peptidase	hypothetical protein	demethylmenaquinone methyltransferase	flagellar motor protein MotA	biopolymer transporter ExbD	pyrophosphatase	membrane protein	GCA_000313175.2_ASM31317v2	genomes/GCA_000313175.2_ASM31317v2/GCA_000313175.2_ASM31317v2_feature_table.txt
310	409	QAR33783.1	Geovibrio thiophilus								-	-	-	-	-	-	-	QAR33786.1	QAR33785.1	QAR33784.1	QAR33783.1	QAR33782.1	QAR33781.1	QAR33780.1	DUF4857 domain-containing protein	DUF3450 domain-containing protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	hypothetical protein	GCA_004087915.1_ASM408791v1	genomes/GCA_004087915.1_ASM408791v1/GCA_004087915.1_ASM408791v1_feature_table.txt
311	412	QEO41299.1	Vibrio cholerae								-	-	+	+	+	+	+	QEO41296.1	QEO41297.1	QEO41298.1	QEO41299.1	QEO41300.1	QEO41301.1	QEO41302.1	ABC transporter permease subunit	extracellular solute-binding protein	DUF3450 domain-containing protein	MotA/TolQ/ExbB proton channel family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	GCA_008369605.1_ASM836960v1	genomes/GCA_008369605.1_ASM836960v1/GCA_008369605.1_ASM836960v1_feature_table.txt
312	413	BAC61495.1	Vibrio parahaemolyticus RIMD 2210633	VPA0149	VPA0150	VPA0151	VPA0152	VPA0153	VPA0154	VPA0155	+	+	+	+	+	+	+	BAC61492.1	BAC61493.1	BAC61494.1	BAC61495.1	BAC61496.1	BAC61497.1	BAC61498.1	putative two-component system sensor kinase	putative ferrichrome-iron receptor	conserved hypothetical protein	biopolymer transport protein ExbB-related protein	TonB system transport protein ExbB2	TonB system transport protein ExbD2	TonB2 protein	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
313	414	BAC58429.1	Vibrio parahaemolyticus RIMD 2210633	VP0169	VP0168	VP0167	VP0166	VP0165	VP0164	VP0163	-	-	-	-	-	-	-	BAC58432.1	BAC58431.1	BAC58430.1	BAC58429.1	BAC58428.1	BAC58427.1	BAC58426.1	hypothetical protein	hypothetical protein	hypothetical protein	putative TolR	TonB system transport protein ExbB2	TonB system transport protein ExbD2	putative TonB2 protein	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
314	416	SEH93354.1	Akkermansia glycaniphila	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	SEH93388.1	SEH93375.1	SEH93365.1	SEH93354.1	SEH93343.1	SEH93330.1	SEH93320.1	Hypothetical protein	Hypothetical protein	dna glycosylase	mota/tolq/exbb proton channel family	biopolymer transport protein exbd/tolr	biopolymer transport protein exbd/tolr	Hypothetical protein	GCA_900097105.1_WK001	genomes/GCA_900097105.1_WK001/GCA_900097105.1_WK001_feature_table.txt
315	417	QVL32859.1	Telmatocola sphagniphila		hisA						-	+	+	+	+	+	+	QVL32856.1	QVL32857.1	QVL32858.1	QVL32859.1	QVL32860.1	QVL32861.1	QVL32862.1	DUF4337 domain-containing protein	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	elongation factor G	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	lysophospholipid acyltransferase family protein	GCA_018398935.1_ASM1839893v1	genomes/GCA_018398935.1_ASM1839893v1/GCA_018398935.1_ASM1839893v1_feature_table.txt
316	418	UAK42981.1	Bacteroides nordii								+	+	+	+	+	+	+	UAK42979.1	UAK42980.1		UAK42981.1	UAK42982.1	UAK42983.1	UAK42984.1	hypothetical protein	TatD family hydrolase	tRNA-Ser	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	biopolymer transporter ExbD	biopolymer transporter ExbD	GCA_019930665.1_ASM1993066v1	genomes/GCA_019930665.1_ASM1993066v1/GCA_019930665.1_ASM1993066v1_feature_table.txt
317	423	QDU94732.1	Lignipirellula cremea	dcd	pdg					bamB_4	+	+	-	-	-	-	-	QDU94735.1	QDU94734.1	QDU94733.1	QDU94732.1	QDU94731.1	QDU94730.1	QDU94729.1	Deoxycytidine triphosphate deaminase	Ultraviolet N-glycosylase/AP lyase	hypothetical protein	colicin uptake protein TolQ	colicin uptake protein TolR	colicin uptake protein TolR	Outer membrane protein assembly factor BamB	GCA_007751035.1_ASM775103v1	genomes/GCA_007751035.1_ASM775103v1/GCA_007751035.1_ASM775103v1_feature_table.txt
318	424	CAD76944.1	Rhodopirellula baltica SH 1				tolQ		exbD		-	-	+	+	+	+	+	CAD76940.1	CAD76941.1	CAD76943.1	CAD76944.1	CAD76945.1	CAD76946.1	CAD76947.1	hypothetical protein-signal peptide and transmembrane prediction	hypothetical protein	hypothetical protein	probable TolQ	similar to biopolymer transport exbD2 protein	probable biopolymer transport exbD protein	similar to serine/threonine protein kinase related protein-putative PQQ-dependent oxidoreductase	GCA_000196115.1_ASM19611v1	genomes/GCA_000196115.1_ASM19611v1/GCA_000196115.1_ASM19611v1_feature_table.txt
319	425	QQS05296.1	Fibrobacteres bacterium								-	-	-	-	-	-	-	QQS05299.1	QQS05298.1	QQS05297.1	QQS05296.1	QQS05295.1	QQS05294.1	QQS05293.1	hypothetical protein	tetratricopeptide repeat protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	energy transducer TonB	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
320	426	QOY89541.1	Paludibaculum fermentans								+	+	+	+	+	+	+	QOY89538.1	QOY89539.1	QOY89540.1	QOY89541.1	QOY89542.1	QOY89543.1	QOY89544.1	ABC transporter permease	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	hypothetical protein	right-handed parallel beta-helix repeat-containing protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
321	428	AWI09431.1	Ereboglobus luteus								+	-	-	-	-	+	-	AWI09432.1	AWI10621.1	AWI10620.1	AWI09431.1	AWI09430.1		AWI10619.1	hypothetical protein	EamA family transporter	ferrochelatase	flagellar motor protein MotA	biopolymer transporter ExbD	hypothetical protein	metallophosphoesterase	GCA_003096195.1_ASM309619v1	genomes/GCA_003096195.1_ASM309619v1/GCA_003096195.1_ASM309619v1_feature_table.txt
322	429	ATC62595.1	Nibricoccus aquaticus								+	+	-	-	-	-	-	ATC62597.1	ATC62596.1	ATC65906.1	ATC62595.1	ATC62594.1	ATC62593.1	ATC62592.1	hypothetical protein	hypothetical protein	dihydroorotate dehydrogenase (quinone)	flagellar motor protein MotA	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_002310495.1_ASM231049v1	genomes/GCA_002310495.1_ASM231049v1/GCA_002310495.1_ASM231049v1_feature_table.txt
323	430	SEH78546.1	Akkermansia glycaniphila	NA	NA	NA	NA	NA	NA	NA	+	+	-	-	-	-	-	SEH78584.1	SEH78570.1	SEH78559.1	SEH78546.1	SEH78532.1	SEH78522.1	SEH78510.1	aldolase-type tim barrel	ssb: single-stranded dna-binding protein	Hypothetical protein	mota/tolq/exbb proton channel family	biopolymer transport protein exbd/tolr	peptide deformylase	protein kinase-like domain	GCA_900097105.1_WK001	genomes/GCA_900097105.1_WK001/GCA_900097105.1_WK001_feature_table.txt
324	431	QJE97269.1	Luteolibacter luteus	rsmA					def		+	+	+	+	+	+	+	QJE99291.1	QJE97267.1	QJE97268.1	QJE97269.1	QJE97270.1	QJE97271.1	QJE97272.1	ribosomal RNA small subunit methyltransferase A	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	peptide deformylase	hypothetical protein	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
325	432	ACX75484.1	Fibrobacter succinogenes subsp. succinogenes S85								+	+	+	+	+	+	+	ACX75481.1	ACX75482.1	ACX75483.1	ACX75484.1	ACX75485.1	ACX75486.1	ACX75487.1	OmpA/MotB domain protein	TPR repeat-containing protein	TPR repeat-containing protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	Biopolymer transport protein ExbD/TolR	TonB family protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
326	433	ARN57240.1	Sedimentisphaera salicampi			exbB_1	exbB_2				+	+	+	+	+	+	+	ARN57237.1	ARN57238.1	ARN57239.1	ARN57240.1	ARN57241.1	ARN57242.1	ARN57243.1	TonB-dependent receptor	chromosome segregation protein SMC	Biopolymer transport protein ExbB	Biopolymer transport protein ExbB	biopolymer transport protein ExbD	hypothetical protein	tetratricopeptide repeat protein	GCA_002117005.1_ASM211700v1	genomes/GCA_002117005.1_ASM211700v1/GCA_002117005.1_ASM211700v1_feature_table.txt
327	434	AKJ65464.1	Kiritimatiella glycovorans			exbB_7					-	-	-	-	-	-	-	AKJ65467.1	AKJ65466.1	AKJ65465.1	AKJ65464.1	AKJ65463.1	AKJ65462.1	AKJ65461.1	TonB-dependent receptor	hypothetical protein	Biopolymer transport protein ExbB	colicin uptake protein TolQ	hypothetical protein	biopolymer transport protein ExbD	transport protein TonB	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
328	435	QEO43084.1	Vibrio cholerae	hutX							-	-	+	+	+	+	+	QEO43082.1	QEO43083.1	QEO43762.1	QEO43084.1	QEO43085.1	QEO43086.1	QEO43087.1	heme utilization cystosolic carrier protein HutX	heme anaerobic degradation radical SAM methyltransferase ChuW/HutW	energy transducer TonB	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hemin ABC transporter substrate-binding protein	iron ABC transporter permease	GCA_008369605.1_ASM836960v1	genomes/GCA_008369605.1_ASM836960v1/GCA_008369605.1_ASM836960v1_feature_table.txt
329	436	ACX74512.1	Fibrobacter succinogenes subsp. succinogenes S85								-	-	-	-	-	-	-	ACX74515.1	ACX74514.1	ACX74513.1	ACX74512.1	ACX74511.1	ACX74510.1	ACX74509.1	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	TPR repeat-containing protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
330	437	ACX73656.1	Fibrobacter succinogenes subsp. succinogenes S85								-	-	-	-	-	-	-	ACX73659.1	ACX73658.1	ACX73657.1	ACX73656.1	ACX73655.1	ACX73654.1	ACX73653.1	pseudouridine synthase	hypothetical protein	MotA/TolQ/ExbB proton channel	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	TonB family protein	TPR repeat-containing protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
331	438	AKJ64799.1	Kiritimatiella glycovorans	tsaA_1							-	-	-	-	-	-	-	AKJ64802.1	AKJ64801.1	AKJ64800.1	AKJ64799.1	AKJ64798.1	AKJ64797.1	AKJ64796.1	putative tRNA (adenine(37)-N6)-methyltransferase	hypothetical protein	Biopolymer transport protein ExbB	ExbB proton channel family protein	Biopolymer transport protein ExbD	hypothetical protein	transport protein TonB	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
332	440	AQU99647.1	Desulfococcus multivorans								-	+	+	+	+	+	+	AQX36449.1	AQU99645.1	AQU99646.1	AQU99647.1	AQU99648.1	AQU99649.1	AQU99650.1	hypothetical protein	hypothetical protein	MotA	MotA	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_002009335.2_ASM200933v2	genomes/GCA_002009335.2_ASM200933v2/GCA_002009335.2_ASM200933v2_feature_table.txt
333	443	BAC58428.1	Vibrio parahaemolyticus RIMD 2210633	VP0168	VP0167	VP0166	VP0165	VP0164	VP0163	VP0162	-	-	-	-	-	-	-	BAC58431.1	BAC58430.1	BAC58429.1	BAC58428.1	BAC58427.1	BAC58426.1	BAC58425.1	hypothetical protein	hypothetical protein	putative TolR	TonB system transport protein ExbB2	TonB system transport protein ExbD2	putative TonB2 protein	hypothetical protein	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
334	444	QEO41300.1	Vibrio cholerae								-	+	+	+	+	+	+	QEO41297.1	QEO41298.1	QEO41299.1	QEO41300.1	QEO41301.1	QEO41302.1	QEO41303.1	extracellular solute-binding protein	DUF3450 domain-containing protein	MotA/TolQ/ExbB proton channel family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	hypothetical protein	GCA_008369605.1_ASM836960v1	genomes/GCA_008369605.1_ASM836960v1/GCA_008369605.1_ASM836960v1_feature_table.txt
335	445	BAC61496.1	Vibrio parahaemolyticus RIMD 2210633	VPA0150	VPA0151	VPA0152	VPA0153	VPA0154	VPA0155	VPA0156	+	+	+	+	+	+	+	BAC61493.1	BAC61494.1	BAC61495.1	BAC61496.1	BAC61497.1	BAC61498.1	BAC61499.1	putative ferrichrome-iron receptor	conserved hypothetical protein	biopolymer transport protein ExbB-related protein	TonB system transport protein ExbB2	TonB system transport protein ExbD2	TonB2 protein	hypothetical protein	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
336	446	ARN57520.1	Sedimentisphaera salicampi		ykuD		exbB_3		groL_1		+	+	+	+	+	+	+	ARN57517.1	ARN57518.1	ARN57519.1	ARN57520.1	ARN57521.1	ARN57522.1	ARN57523.1	5-formyltetrahydrofolate cyclo-ligase family protein	"Putative L,D-transpeptidase YkuD"	marine proteobacterial sortase target protein	Biopolymer transport protein ExbB	Biopolymer transport protein ExbD/TolR	Stress protein H5	co-chaperonin GroES	GCA_002117005.1_ASM211700v1	genomes/GCA_002117005.1_ASM211700v1/GCA_002117005.1_ASM211700v1_feature_table.txt
337	449	AAC68198.1	Chlamydia trachomatis D/UW-3/CX		ycfH	dsbD	exbB	exbD		tolB	-	-	-	+	+	+	+	AAC68204.1	AAC68196.1	AAC68197.1	AAC68198.1	AAC68199.1	AAC68200.1	AAC68201.1	hypothetical protein-possible frameshift with CT593	PHP superfamily hydrolase	Thio:disulfide Interchange Protein	polysaccharide transporter	Biopolymer Transport Protein	hypothetical protein	component of a macromolecule transport system	GCA_000008725.1_ASM872v1	genomes/GCA_000008725.1_ASM872v1/GCA_000008725.1_ASM872v1_feature_table.txt
338	450	AGW38400.1	Chlamydia pecorum PV3056/3	sdhC						tolB	-	-	-	+	+	+	+	AGW38397.1	AGW38398.1	AGW38399.1	AGW38400.1	AGW38401.1	AGW38402.1	AGW38403.1	succinate dehydrogenase subunit	"deoxyribonuclease, TatD family"	hypothetical protein	putative transport protein	biopolymer transport protein	hypothetical protein	translocation protein	GCA_000470765.1_ASM47076v1	genomes/GCA_000470765.1_ASM47076v1/GCA_000470765.1_ASM47076v1_feature_table.txt
339	451	AAP98742.1	Chlamydia pneumoniae TW-183		mttC	dsbD	exbB	exbD		tolB	+	+	+	-	-	-	-	AAP98745.1	AAP98744.1	AAP98743.1	AAP98742.1	AAP98741.1	AAP98740.1	AAP98739.1	succinate dehydrogenase subunit C	MttC	thiol:disulfide interchange protein	ExbB	ExbD	hypothetical protein	TolB precursor	GCA_000007205.1_ASM720v1	genomes/GCA_000007205.1_ASM720v1/GCA_000007205.1_ASM720v1_feature_table.txt
340	453	AOO66396.1	Sulfurospirillum halorespirans DSM 13726								-	-	-	-	-	-	-	AOO66399.1	AOO66398.1	AOO66397.1	AOO66396.1	AOO66395.1	AOO66394.1	AOO66393.1	hypothetical protein	SirA-like domain-containing protein	"selenide, water dikinase"	TolQ proton channel family protein	TolR-like protein	TonB-like protein	TonB-dependent receptor	GCA_001723605.1_ASM172360v1	genomes/GCA_001723605.1_ASM172360v1/GCA_001723605.1_ASM172360v1_feature_table.txt
341	455	ADN08827.1	Sulfurimonas autotrophica DSM 16294	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	ADN08824.1	ADN08825.1	ADN08826.1	ADN08827.1	ADN08828.1	ADN08829.1	ADN08830.1	ATP synthase F1 subcomplex gamma subunit	ATP synthase F1 subcomplex beta subunit	ATP synthase F1 subcomplex epsilon subunit	MotA/TolQ/ExbB proton channel	Cell division and transport-associated protein TolR	conserved hypothetical protein	WD40 domain protein beta Propeller	GCA_000147355.1_ASM14735v1	genomes/GCA_000147355.1_ASM14735v1/GCA_000147355.1_ASM14735v1_feature_table.txt
342	456	ADG93991.1	Arcobacter nitrofigilis DSM 7299	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	ADG93994.1	ADG93993.1	ADG93992.1	ADG93991.1	ADG93990.1	ADG93989.1	ADG93988.1	"ATP synthase F1, gamma subunit"	"ATP synthase F1, beta subunit"	"ATP synthase F1, epsilon subunit"	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	conserved hypothetical protein	TolB domain protein	GCA_000092245.1_ASM9224v1	genomes/GCA_000092245.1_ASM9224v1/GCA_000092245.1_ASM9224v1_feature_table.txt
343	457	CAL34280.1	Campylobacter jejuni subsp. jejuni NCTC 11168 	atpG	atpD	atpC	exbB3	exbD3		tolB	+	+	+	+	+	+	+	CAL34277.1	CAL34278.1	CAL34279.1	CAL34280.1	CAL34281.1	CAL34282.1	CAL34283.1	ATP synthase F1 sector gamma subunit	ATP synthase F1 sector beta subunit	ATP synthase F1 sector epsilon subunit	putative MotA/TolQ/ExbB proton channel family protein	putative exbD/tolR family transport protein	putative periplasmic protein	putative TolB precursor protein	GCA_000009085.1_ASM908v1	genomes/GCA_000009085.1_ASM908v1/GCA_000009085.1_ASM908v1_feature_table.txt
