Double-checking the MotB sequences / IDs in the file:  					motB_filtered.fasta										
															
"Notes for fixing on the right. The ones with the biggest issues are at the bottom, these are probably the cases where the MotA neighbor was not actually a MotB homolog, e.g. sometimes there is an insertion or switching from coding on + strand to - strand. "															
															
															
															
															
		names from: motB_filtered.fasta	MotA IDs from: motB_filtered.fasta		MotB IDs from: motB_filtered.fasta			These are hits in Nick's Excel file of gene neighbors to the MotA/TolQ/ExbB homologs; this contains clear MotB/TolR/ExbD homologs for most proteins (exceptions at the bottom)							
271	375	UNU18280_UNU18281_biopolymer transporter ExbD_Microcoleus vaginatus PCC 9802 (cyanobacteria)	UNU18280	UNU18281_biopolymer transporter ExbD_Microcoleus vaginatus PCC 9802 (cyanobacteria)	UNU18281	325	1	UNU18281	UNU18281.1	biopolymer transporter ExbD		y			
272	376	UOY13875_UOY13874_flagellar motor protein MotB_Treponema pallidum subsp. pallidum (syphilis treponeme)	UOY13875	UOY13874_flagellar motor protein MotB_Treponema pallidum subsp. pallidum (syphilis treponeme)	UOY13874	922	1	UOY13874	UOY13874.1	flagellar motor protein MotB		y			
273	377	UPH48256_UPH48258_hypothetical protein_Listeria innocua (firmicutes)	UPH48256	UPH48258_hypothetical protein_Listeria innocua (firmicutes)	UPH48258	901	1	UPH48257	UPH48257.1	flagellar motor protein MotB					
274	378	USF23676_USF23675_Motility protein B_Mucispirillum schaedleri ASF457 (bacteria)	USF23676	USF23675_Motility protein B_Mucispirillum schaedleri ASF457 (bacteria)	USF23675	966	1	USF23675	USF23675.1	Motility protein B		y			
275	379	USF25003_USF25004_Tol-Pal system protein TolR_Mucispirillum schaedleri ASF457 (bacteria)	USF25003	USF25004_Tol-Pal system protein TolR_Mucispirillum schaedleri ASF457 (bacteria)	USF25004	246	1	USF25004	USF25004.1	Tol-Pal system protein TolR		y			
276	1	AAC07752_AAC07716_N-methylhydantoinase B_Aquifex aeolicus VF5 (aquificales)	AAC07752	AAC07716_N-methylhydantoinase B_Aquifex aeolicus VF5 (aquificales)	AAC07716	206	1	AAC07763	AAC07763.1	hypothetical protein					
277	20	ABC77078_ABC77077_chemotaxis protein_Syntrophus aciditrophicus SB (d-proteobacteria)	ABC77078	ABC77077_chemotaxis protein_Syntrophus aciditrophicus SB (d-proteobacteria)	ABC77077	1192	1	ABC77077	ABC77077.1	chemotaxis protein		y			
278	33	ABQ60495_ABQ60635_transposase OrfA_Brucella ovis ATCC 25840 (a-proteobacteria)	ABQ60495	ABQ60635_transposase OrfA_Brucella ovis ATCC 25840 (a-proteobacteria)	ABQ60635	577	1	ABQ61090	ABQ61090.1	TonB system transport protein ExbD					
279	34	ABQ61581_ABQ62795_fructose-1-6-bisphosphatase_Brucella ovis ATCC 25840 (a-proteobacteria)	ABQ61581	ABQ62795_fructose-1-6-bisphosphatase_Brucella ovis ATCC 25840 (a-proteobacteria)	ABQ62795	593	1	ABQ60278	ABQ60278.1	protein TolR					
280	69	ACX73657_ACX73656_MotA/TolQ/ExbB proton channel_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX73657	ACX73656_MotA/TolQ/ExbB proton channel_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX73656	55	1	ACX73655	ACX73655.1	Biopolymer transport protein ExbD/TolR					
281	72	ACX74513_ACX74512_MotA/TolQ/ExbB proton channel_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX74513	ACX74512_MotA/TolQ/ExbB proton channel_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX74512	78	1	ACX74511	ACX74511.1	Biopolymer transport protein ExbD/TolR					
282	86	ADD67744_ADD67745_MotA/TolQ/ExbB proton channel_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67744	ADD67745_MotA/TolQ/ExbB proton channel_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67745	65	1	ADD67746	ADD67746.1	Biopolymer transport protein ExbD/TolR					
283	88	ADD68377_ADD68376_MotA/TolQ/ExbB proton channel_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD68377	ADD68376_MotA/TolQ/ExbB proton channel_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD68376	68	1	ADD68375	ADD68375.1	Biopolymer transport protein ExbD/TolR					
284	89	"ADE86105_ADE85949_molybdate ABC transporter, periplasmic molybdate-binding protein ModA-2_Rhodobacter capsulatus SB 1003 (a-proteobacteria)"	ADE86105	"ADE85949_molybdate ABC transporter, periplasmic molybdate-binding protein ModA-2_Rhodobacter capsulatus SB 1003 (a-proteobacteria)"	ADE85949	572	1	ADE86106	ADE86106.1	biopolymer transport protein ExbD-1					
285	101	ADO72879_ADO72878_conserved uncharacterized protein_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO72879	ADO72878_conserved uncharacterized protein_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO72878	184	1	ADO72878	ADO72878.1	conserved uncharacterized protein		y			
286	106	ADV60824_ADV60793_phosphoribosyltransferase_Isosphaera pallida ATCC 43644 (bacteria)	ADV60824	ADV60793_phosphoribosyltransferase_Isosphaera pallida ATCC 43644 (bacteria)	ADV60793	279	1	ADV60825	ADV60825.1	Biopolymer transport protein ExbD/TolR					
287	108	ADV63187_ADV63154_Dihydrofolate reductase_Isosphaera pallida ATCC 43644 (bacteria)	ADV63187	ADV63154_Dihydrofolate reductase_Isosphaera pallida ATCC 43644 (bacteria)	ADV63154	292	1	ADV63188	ADV63188.1	Biopolymer transport protein ExbD/TolR					
288	109	ADV63710_ADV63679_oxidoreductase domain protein_Isosphaera pallida ATCC 43644 (bacteria)	ADV63710	ADV63679_oxidoreductase domain protein_Isosphaera pallida ATCC 43644 (bacteria)	ADV63679	1279	1	ADV63709	ADV63709.1	Biopolymer transport protein ExbD/TolR					
289	110	ADV63892_ADV63859_peptidase M14 carboxypeptidase A_Isosphaera pallida ATCC 43644 (bacteria)	ADV63892	ADV63859_peptidase M14 carboxypeptidase A_Isosphaera pallida ATCC 43644 (bacteria)	ADV63859	293	1	ADV63891	ADV63891.1	Biopolymer transport protein ExbD/TolR					
290	125	"AEM21069_AEM21060_extracellular solute-binding protein, family 5_Brachyspira intermedia PWS/A (bacteria)"	AEM21069	"AEM21060_extracellular solute-binding protein, family 5_Brachyspira intermedia PWS/A (bacteria)"	AEM21060	932	1	AEM21070	AEM21070.1	putative flagellar motor protein					
291	141	AFL86415_AFL86416_biopolymer transport protein_Terriglobus roseus DSM 18391 (bacteria)	AFL86415	AFL86416_biopolymer transport protein_Terriglobus roseus DSM 18391 (bacteria)	AFL86416	758	1	AFL86416	AFL86416.1	biopolymer transport protein		y			
292	142	AFL88265_AFL88266_biopolymer transport protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88265	AFL88266_biopolymer transport protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88266	641	1	AFL88266	AFL88266.1	biopolymer transport protein		y			
293	143	AFL88473_AFL88474_flagellar motor protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88473	AFL88474_flagellar motor protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88474	871	1	AFL88474	AFL88474.1	flagellar motor protein		y			
294	144	AFL88606_AFL88607_biopolymer transport protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88606	AFL88607_biopolymer transport protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88607	640	1	AFL88607	AFL88607.1	biopolymer transport protein		y			
295	145	AFL88814_AFL88815_flagellar motor protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88814	AFL88815_flagellar motor protein_Terriglobus roseus DSM 18391 (bacteria)	AFL88815	870	1	AFL88815	AFL88815.1	flagellar motor protein		y			
296	156	AJJ31614_AJJ32016_PTS system sorbose-specific iic component family protein_Yersinia pestis (enterobacteria)	AJJ31614	AJJ32016_PTS system sorbose-specific iic component family protein_Yersinia pestis (enterobacteria)	AJJ32016	561	1	AJJ33284	AJJ33284.1	TonB system transport protein ExbD					
297	157	AJJ31712_AJJ30776_inner membrane ABC transporter permease protein yejB_Yersinia pestis (enterobacteria)	AJJ31712	AJJ30776_inner membrane ABC transporter permease protein yejB_Yersinia pestis (enterobacteria)	AJJ30776	418	1	AJJ33434	AJJ33434.1	protein TolR					
298	158	AJJ32465_AJJ32941_flagellar hook-basal body complex protein FliE_Yersinia pestis (enterobacteria)	AJJ32465	AJJ32941_flagellar hook-basal body complex protein FliE_Yersinia pestis (enterobacteria)	AJJ32941	1071	1	AJJ29914	AJJ29914.1	motility protein B					
299	159	AJJ32757_AJJ30848_putative exported protein_Yersinia pestis (enterobacteria)	AJJ32757	AJJ30848_putative exported protein_Yersinia pestis (enterobacteria)	AJJ30848	1145	1	AJJ32917	AJJ32917.1	membrane MotB of proton-channel complex MotA/MotB family protein					
300	160	AJJ54987_AJJ53980_peptidase T_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ54987	AJJ53980_peptidase T_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ53980	1074	1	AJJ55678	AJJ55678.1	motility protein B					
301	161	AJJ55217_AJJ54952_xylose isomerase-like TIM barrel family protein_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ55217	AJJ54952_xylose isomerase-like TIM barrel family protein_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ54952	415	1	AJJ56355	AJJ56355.1	protein TolR					
302	162	AJJ56099_AJJ56908_16S rRNA (cytidine(1402)-2'-O)-methyltransferase_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ56099	AJJ56908_16S rRNA (cytidine(1402)-2'-O)-methyltransferase_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ56908	559	1	AJJ54906	AJJ54906.1	TonB system transport protein ExbD					
303	163	AJJ56783_AJJ54417_outer membrane efflux family protein_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ56783	AJJ54417_outer membrane efflux family protein_Yersinia pseudotuberculosis IP 32953 (enterobacteria)	AJJ54417	1148	1	AJJ55251	AJJ55251.1	membrane MotB of proton-channel complex MotA/MotB family protein					
304	165	AKD04823_AKD04822_transporter_Pontibacter korlensis (CFB group bacteria)	AKD04823	AKD04822_transporter_Pontibacter korlensis (CFB group bacteria)	AKD04822	396	1	AKD04822	AKD04822.1	transporter		y			
305	170	AKJ64800_AKJ64799_ExbB proton channel family protein_Kiritimatiella glycovorans (bacteria)	AKJ64800	AKJ64799_ExbB proton channel family protein_Kiritimatiella glycovorans (bacteria)	AKJ64799	64	1	AKJ64798	AKJ64798.1	Biopolymer transport protein ExbD					
306	178	ALF47869_ALF47868_flagellar motor protein_Campylobacter concisus (e-proteobacteria)	ALF47869	ALF47868_flagellar motor protein_Campylobacter concisus (e-proteobacteria)	ALF47868	960	1	ALF47868	ALF47868.1	flagellar motor protein		y			
307	182	ALW88052_ALW88053_biopolymer transporter_Deinococcus actinosclerus (bacteria)	ALW88052	ALW88053_biopolymer transporter_Deinococcus actinosclerus (bacteria)	ALW88053	198	1	ALW88053	ALW88053.1	biopolymer transporter		y			
308	195	AQU99646_AQU99647_MotA_Desulfococcus multivorans (d-proteobacteria)	AQU99646	AQU99647_MotA_Desulfococcus multivorans (d-proteobacteria)	AQU99647	72	1	AQU99648	AQU99648.1	biopolymer transporter ExbD					
309	197	ARN57239_ARN57240_Biopolymer transport protein ExbB_Sedimentisphaera salicampi (bacteria)	ARN57239	ARN57240_Biopolymer transport protein ExbB_Sedimentisphaera salicampi (bacteria)	ARN57240	62	1	ARN57241	ARN57241.1	biopolymer transport protein ExbD					
310	204	ATO49114_ATO49113_chemotaxis protein_Brevibacillus laterosporus DSM 25 (firmicutes)	ATO49114	ATO49113_chemotaxis protein_Brevibacillus laterosporus DSM 25 (firmicutes)	ATO49113	907	1	ATO49113	ATO49113.1	chemotaxis protein		y			
311	209	ATU65955_ATU65954_histidine kinase_Rhizobacter gummiphilus (b-proteobacteria)	ATU65955	ATU65954_histidine kinase_Rhizobacter gummiphilus (b-proteobacteria)	ATU65954	1158	1	ATU65954	ATU65954.1	histidine kinase		y			
312	226	AVQ29523_AVQ29523_MotA/TolQ/ExbB proton channel family protein_Fusobacterium ulcerans (fusobacteria)	AVQ29523	AVQ29523_MotA/TolQ/ExbB proton channel family protein_Fusobacterium ulcerans (fusobacteria)	AVQ29523	193	1	AVQ29522	AVQ29522.1	biopolymer transporter ExbD			"yes, fix please"		
313	230	AWV88047_AWV88047_MotA/TolQ/ExbB proton channel family protein_Bradymonas sediminis (d-proteobacteria)	AWV88047	AWV88047_MotA/TolQ/ExbB proton channel family protein_Bradymonas sediminis (d-proteobacteria)	AWV88047	242	1	AWV88046	AWV88046.1	hypothetical protein			"yes, fix please"		
314	234	AWV89791_AWV89791_MotA/TolQ/ExbB proton channel family protein_Bradymonas sediminis (d-proteobacteria)	AWV89791	AWV89791_MotA/TolQ/ExbB proton channel family protein_Bradymonas sediminis (d-proteobacteria)	AWV89791	187	1	AWV89790	AWV89790.1	hypothetical protein			"yes, fix please"		
315	235	"BAC58952_BAC58606_3-isopropylmalate dehydratase, large subunit_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)"	BAC58952	"BAC58606_3-isopropylmalate dehydratase, large subunit_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)"	BAC58606	1010	1	BAC58953	BAC58953.1	sodium-driven polar flagellar protein MotB					
316	236	"BAC59320_BAC61879_cytochrome c oxidase, subunit II_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)"	BAC59320	"BAC61879_cytochrome c oxidase, subunit II_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)"	BAC61879	463	1	BAC59321	BAC59321.1	TolR membrane protein					
317	238	BAC62899_BAC61148_factor-for-inversion stimulation protein_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)	BAC62899	BAC61148_factor-for-inversion stimulation protein_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)	BAC61148	1164	1	BAC62900	BAC62900.1	chemotaxis LafU protein					
318	240	BAC89328_BAC89329__Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC89328	BAC89329__Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC89329	330	1	BAC89329	BAC89329.1	NA		y			please fix manually (perhaps just label? Confirm it's a MotB homolo on website with BLAST or Conserved Domain)
319	241	BAC90343_BAC90344__Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC90343	BAC90344__Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC90344	329	1	BAC90344	BAC90344.1	NA		y			please fix manually (perhaps just label? Confirm it's a MotB homolo on website with BLAST or Conserved Domain)
320	245	BAH38987_BAH38986_putative biopolymer transport protein_Gemmatimonas aurantiaca T-27 (bacteria)	BAH38987	BAH38986_putative biopolymer transport protein_Gemmatimonas aurantiaca T-27 (bacteria)	BAH38986	744	1	BAH38986	BAH38986.1	putative biopolymer transport protein		y			
321	246	BAH39052_BAH39051_putative biopolymer transport protein_Gemmatimonas aurantiaca T-27 (bacteria)	BAH39052	BAH39051_putative biopolymer transport protein_Gemmatimonas aurantiaca T-27 (bacteria)	BAH39051	757	1	BAH39051	BAH39051.1	putative biopolymer transport protein		y			
322	247	BAM06016_BAM06017_putative flagellar motor protein_Leptospirillum ferrooxidans C2-3 (bacteria)	BAM06016	BAM06017_putative flagellar motor protein_Leptospirillum ferrooxidans C2-3 (bacteria)	BAM06017	868	1	BAM06017	BAM06017.1	putative flagellar motor protein		y			
323	248	BAM06053_BAM06052_putative biopolymer transport protein_Leptospirillum ferrooxidans C2-3 (bacteria)	BAM06053	BAM06052_putative biopolymer transport protein_Leptospirillum ferrooxidans C2-3 (bacteria)	BAM06052	345	1	BAM06052	BAM06052.1	putative biopolymer transport protein		y			
324	260	CAB14951_CAB14950_sodium channel stator-force generator peptidoglycan binding subunit of flagellar rotation_Bacillus subtilis subsp. subtilis str. 168 (firmicutes)	CAB14951	CAB14950_sodium channel stator-force generator peptidoglycan binding subunit of flagellar rotation_Bacillus subtilis subsp. subtilis str. 168 (firmicutes)	CAB14950	918	1	CAB14950	CAB14950.1	sodium channel stator-force generator peptidoglycan binding subunit of flagellar rotation		y			
325	267	CAL34348_CAL34349_biopolymer transport protein_Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	CAL34348	CAL34349_biopolymer transport protein_Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	CAL34349	718	1	CAL34349	CAL34349.1	biopolymer transport protein		y			
326	268	CAL34488_CAL34487_putative flagellar motor protein_Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	CAL34488	CAL34487_putative flagellar motor protein_Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	CAL34487	861	1	CAL34487	CAL34487.1	putative flagellar motor protein		y			
327	269	CCB87487_CCB87486_putative uncharacterized protein_Parachlamydia acanthamoebae UV-7 (bacteria)	CCB87487	CCB87486_putative uncharacterized protein_Parachlamydia acanthamoebae UV-7 (bacteria)	CCB87486	369	1	CCB87486	CCB87486.1	putative uncharacterized protein		y			
328	270	CCB87689_CCB87690_putative uncharacterized protein_Parachlamydia acanthamoebae UV-7 (bacteria)	CCB87689	CCB87690_putative uncharacterized protein_Parachlamydia acanthamoebae UV-7 (bacteria)	CCB87690	723	1	CCB87690	CCB87690.1	putative uncharacterized protein		y			
329	273	CCW34551_CCW34550_Flagellar motor protein_Chthonomonas calidirosea T49 (bacteria)	CCW34551	CCW34550_Flagellar motor protein_Chthonomonas calidirosea T49 (bacteria)	CCW34550	1202	1	CCW34550	CCW34550.1	Flagellar motor protein		y			
330	274	CCW35905_CCW35906_Flagellar motor protein_Chthonomonas calidirosea T49 (bacteria)	CCW35905	CCW35906_Flagellar motor protein_Chthonomonas calidirosea T49 (bacteria)	CCW35906	887	1	CCW35906	CCW35906.1	Flagellar motor protein		y			
331	279	CDK98316_CDK98315_putative Flagellar motor protein_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK98316	CDK98315_putative Flagellar motor protein_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK98315	1141	1	CDK98315	CDK98315.1	putative Flagellar motor protein		y			
332	280	EKT86397_EKT86763_PASTA domain protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT86397	EKT86763_PASTA domain protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT86763	355	1	EKT86398	EKT86398.1	biopolymer transporter ExbD					
333	281	EKT86693_EKT85260_ABC transporter permease_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT86693	EKT85260_ABC transporter permease_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT85260	928	1	EKT86692	EKT86692.1	flagellar motor protein MotB					
334	282	EKT87439_EKT87718_NTP phosphatase_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT87439	EKT87718_NTP phosphatase_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT87718	785	1	EKT87440	EKT87440.1	biopolymer transporter ExbD					
335	283	EKT88184_EKT87259_metalloenzyme domain protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT88184	EKT87259_metalloenzyme domain protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT87259	385	1	EKT88183	EKT88183.1	biopolymer transporter ExbD					
336	288	QAR33784_QAR33783_MotA/TolQ/ExbB proton channel family protein_Geovibrio thiophilus (bacteria)	QAR33784	QAR33783_MotA/TolQ/ExbB proton channel family protein_Geovibrio thiophilus (bacteria)	QAR33783	66	1	QAR33782	QAR33782.1	biopolymer transporter ExbD					
337	296	QDU26963_QDU26962_flagellar motor protein MotS_Anatilimnocola aggregata (bacteria)	QDU26963	QDU26962_flagellar motor protein MotS_Anatilimnocola aggregata (bacteria)	QDU26962	908	1	QDU26962	QDU26962.1	flagellar motor protein MotS		y			
338	309	QEO41016_QEO43161_LysE family translocator_Vibrio cholerae (g-proteobacteria)	QEO41016	QEO43161_LysE family translocator_Vibrio cholerae (g-proteobacteria)	QEO43161	460	1	QEO41017	QEO41017.1	ExbD/TolR family protein					
339	311	QEO43084_QEO41858_glycosyltransferase family 4 protein_Vibrio cholerae (g-proteobacteria)	QEO43084	QEO41858_glycosyltransferase family 4 protein_Vibrio cholerae (g-proteobacteria)	QEO41858	253	1	QEO43085	QEO43085.1	biopolymer transporter ExbD					
340	315	QJE95191_QJE95193_tetratricopeptide repeat protein_Luteolibacter luteus (verrucomicrobia)	QJE95191	QJE95193_tetratricopeptide repeat protein_Luteolibacter luteus (verrucomicrobia)	QJE95193	309	1	QJE95192	QJE95192.1	biopolymer transporter ExbD					
341	316	QJE97269_QJE97271_peptide deformylase_Luteolibacter luteus (verrucomicrobia)	QJE97269	QJE97271_peptide deformylase_Luteolibacter luteus (verrucomicrobia)	QJE97271	268	1	QJE97270	QJE97270.1	biopolymer transporter ExbD					
342	318	QJE97562_QJE97562_MotA/TolQ/ExbB proton channel family protein_Luteolibacter luteus (verrucomicrobia)	QJE97562	QJE97562_MotA/TolQ/ExbB proton channel family protein_Luteolibacter luteus (verrucomicrobia)	QJE97562	302	1	QJE97561	QJE97561.1	biopolymer transporter ExbD			"yes, fix please"		
343	319	QJE97567_QJE97567_MotA/TolQ/ExbB proton channel family protein_Luteolibacter luteus (verrucomicrobia)	QJE97567	QJE97567_MotA/TolQ/ExbB proton channel family protein_Luteolibacter luteus (verrucomicrobia)	QJE97567	338	1	QJE97566	QJE97566.1	biopolymer transporter ExbD			"yes, fix please"		
344	324	QKY92913_QKY92913_Tol-Pal system protein TolQ_Shigella sonnei (enterobacteria)	QKY92913	QKY92913_Tol-Pal system protein TolQ_Shigella sonnei (enterobacteria)	QKY92913	431	1	QKY92912	QKY92912.1	colicin uptake protein TolR			"yes, fix please"		
345	325	QKY94846_QKY94849_TIGR00645 family protein_Shigella sonnei (enterobacteria)	QKY94846	QKY94849_TIGR00645 family protein_Shigella sonnei (enterobacteria)	QKY94849	528	1	QKY94847	QKY94847.1	TonB system transport protein ExbD					
346	326	QKY95842_QKY95844_chemotaxis protein CheA_Shigella sonnei (enterobacteria)	QKY95842	QKY95844_chemotaxis protein CheA_Shigella sonnei (enterobacteria)	QKY95844	1045	1	QKY95843	QKY95843.1	flagellar motor protein MotB					
347	327	QNQ08778_QNQ08778_protein TolQ_Sphingomonas alpina (a-proteobacteria)	QNQ08778	QNQ08778_protein TolQ_Sphingomonas alpina (a-proteobacteria)	QNQ08778	587	1	QNQ08777	QNQ08777.1	protein TolR			"yes, fix please"		
348	328	QNQ09341_QNQ12176_glycerol-3-phosphate 1-O-acyltransferase PlsY_Sphingomonas alpina (a-proteobacteria)	QNQ09341	QNQ12176_glycerol-3-phosphate 1-O-acyltransferase PlsY_Sphingomonas alpina (a-proteobacteria)	QNQ12176	1122	1	QNQ09342	QNQ09342.1	OmpA family protein					
349	330	QNQ12173_QNQ12174_flagellar hook assembly protein FlgD_Sphingomonas alpina (a-proteobacteria)	QNQ12173	QNQ12174_flagellar hook assembly protein FlgD_Sphingomonas alpina (a-proteobacteria)	QNQ12174	1037	1	QNQ09332	QNQ09332.1	flagellar motor protein MotB					
350	331	QOY85080_QOY85039_phosphopyruvate hydratase_Paludibaculum fermentans (bacteria)	QOY85080	QOY85039_phosphopyruvate hydratase_Paludibaculum fermentans (bacteria)	QOY85039	1198	1	QOY85081	QOY85081.1	OmpA family protein					
351	332	QOY85398_QOY85353_AAA family ATPase_Paludibaculum fermentans (bacteria)	QOY85398	QOY85353_AAA family ATPase_Paludibaculum fermentans (bacteria)	QOY85353	874	1	QOY85399	QOY85399.1	OmpA family protein					
352	333	QOY86330_QOY86286_30S ribosomal protein S3_Paludibaculum fermentans (bacteria)	QOY86330	QOY86286_30S ribosomal protein S3_Paludibaculum fermentans (bacteria)	QOY86286	1196	1	QOY86331	QOY86331.1	OmpA family protein					
353	335	QOY88067_QOY88023_DUF5597 domain-containing protein_Paludibaculum fermentans (bacteria)	QOY88067	QOY88023_DUF5597 domain-containing protein_Paludibaculum fermentans (bacteria)	QOY88023	760	1	QOY88068	QOY88068.1	biopolymer transporter ExbD					
354	336	QOY88835_QOY88792_MFS transporter_Paludibaculum fermentans (bacteria)	QOY88835	QOY88792_MFS transporter_Paludibaculum fermentans (bacteria)	QOY88792	1195	1	QOY88834	QOY88834.1	OmpA family protein					
355	340	QSR83870_QSR83870_MotA/TolQ/ExbB proton channel family protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR83870	QSR83870_MotA/TolQ/ExbB proton channel family protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR83870	336	1	QSR83869	QSR83869.1	biopolymer transporter ExbD			"yes, fix please"		
356	341	QSR84174_QSR84174_MotA/TolQ/ExbB proton channel family protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR84174	QSR84174_MotA/TolQ/ExbB proton channel family protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR84174	363	1	QSR84173	QSR84173.1	biopolymer transporter ExbD			"yes, fix please"		
357	344	QSR84626_QSR84628_tetratricopeptide repeat protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR84626	QSR84628_tetratricopeptide repeat protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR84628	306	1	QSR84627	QSR84627.1	biopolymer transporter ExbD					
358	345	QSR85862_QSR85862_MotA/TolQ/ExbB proton channel family protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR85862	QSR85862_MotA/TolQ/ExbB proton channel family protein_Methylacidimicrobium sp. B4 (verrucomicrobia)	QSR85862	337	1	QSR84344	QSR84344.1	biopolymer transporter ExbD			"yes, fix please"		
359	346	QTD50766_QTD50771_TetR/AcrR family transcriptional regulator_Sulfidibacter corallicola (bacteria)	QTD50766	QTD50771_TetR/AcrR family transcriptional regulator_Sulfidibacter corallicola (bacteria)	QTD50771	247	1	QTD50765	QTD50765.1	biopolymer transporter ExbD					
360	347	QTD52661_QTD52661_MotA/TolQ/ExbB proton channel family protein_Sulfidibacter corallicola (bacteria)	QTD52661	QTD52661_MotA/TolQ/ExbB proton channel family protein_Sulfidibacter corallicola (bacteria)	QTD52661	644	1	QTD52660	QTD52660.1	biopolymer transporter ExbD			"yes, fix please"		
361	348	QTD53280_QTD53280_MotA/TolQ/ExbB proton channel family protein_Sulfidibacter corallicola (bacteria)	QTD53280	QTD53280_MotA/TolQ/ExbB proton channel family protein_Sulfidibacter corallicola (bacteria)	QTD53280	391	1	QTD53279	QTD53279.1	biopolymer transporter ExbD			"yes, fix please"		
362	350	QUV79767_QUV80337_class II aldolase/adducin family protein_Chloracidobacterium thermophilum (bacteria)	QUV79767	QUV80337_class II aldolase/adducin family protein_Chloracidobacterium thermophilum (bacteria)	QUV80337	761	1	QUV78832	QUV78832.1	biopolymer transporter ExbD					
363	353	QXB09426_QXB09428_DedA family protein_Klebsiella aerogenes (enterobacteria)	QXB09426	QXB09428_DedA family protein_Klebsiella aerogenes (enterobacteria)	QXB09428	536	1	QXB09425	QXB09425.1	TonB system transport protein ExbD					
364	354	QXB11428_QXB11430_cell envelope integrity protein TolA_Klebsiella aerogenes (enterobacteria)	QXB11428	QXB11430_cell envelope integrity protein TolA_Klebsiella aerogenes (enterobacteria)	QXB11430	444	1	QXB11429	QXB11429.1	colicin uptake protein TolR					
365	355	QXB11670_QXB11672_chemotaxis protein CheA_Klebsiella aerogenes (enterobacteria)	QXB11670	QXB11672_chemotaxis protein CheA_Klebsiella aerogenes (enterobacteria)	QXB11672	1075	1	QXB11671	QXB11671.1	flagellar motor protein MotB					
